date, pm25
2021/4/6, 106
2021/4/7, 108
2021/4/8, 82
2021/4/9, 81
2021/4/10, 86
2021/4/11, 100
2021/4/12, 89
2021/4/13, 139
2021/4/14, 83
2021/4/15, 95
2021/4/16, 103
2021/4/17, 84
2021/4/18, 107
2021/4/19, 82
2021/4/20, 108
2021/4/21, 61
2021/4/22, 87
2021/4/23, 93
2021/4/24, 96
2021/4/25, 76
2021/4/26, 85
2021/4/27, 78
2021/4/28, 72
2021/4/29, 94
2021/4/30, 89
2021/5/1, 81
2021/5/2, 92
2021/5/3, 73
2021/5/4, 97
2021/5/5, 113
2021/5/9, 78
2021/5/10, 76
2021/5/11, 92
2021/5/12, 74
2021/5/13, 73
2021/5/14, 77
2021/5/15, 85
2021/5/16, 94
2021/5/17, 85
2021/5/18, 79
2021/5/19, 85
2021/5/20, 69
2021/5/21, 63
2021/5/22, 75
2021/5/23, 84
2021/5/24, 93
2021/5/25, 95
2021/5/26, 82
2021/5/27, 76
2021/5/28, 73
2021/5/29, 76
2021/5/30, 71
2021/5/31, 69
2021/6/1, 82
2021/6/2, 81
2021/6/3, 81
2021/6/4, 81
2021/6/5, 77
2021/6/7, 125
2021/6/8, 119
2021/6/9, 96
2021/6/10, 83
2021/6/11, 82
2021/6/12, 82
2021/6/13, 90
2021/6/14, 85
2021/6/15, 101
2021/6/16, 94
2021/6/17, 75
2021/6/18, 87
2021/6/19, 97
2021/6/20, 86
2021/6/21, 97
2021/6/22, 89
2021/6/23, 90
2021/6/24, 94
2021/6/25, 89
2021/6/26, 94
2021/6/27, 103
2021/6/28, 87
2021/6/29, 104
2021/6/30, 112
2021/1/4, 162
2021/1/5, 141
2021/1/6, 114
2021/1/7, 110
2021/1/8, 122
2021/1/9, 174
2021/1/10, 154
2021/1/11, 160
2021/1/12, 151
2021/1/13, 167
2021/1/14, 159
2021/1/15, 188
2021/1/18, 144
2021/1/19, 109
2021/1/20, 82
2021/1/21, 85
2021/1/22, 73
2021/1/23, 89
2021/1/24, 88
2021/1/25, 149
2021/1/26, 142
2021/1/27, 166
2021/1/28, 131
2021/1/29, 139
2021/1/30, 128
2021/1/31, 101
2021/2/1, 124
2021/2/2, 138
2021/2/3, 146
2021/2/4, 122
2021/2/5, 124
2021/2/6, 150
2021/2/7, 115
2021/2/8, 97
2021/2/9, 113
2021/2/10, 123
2021/2/11, 122
2021/2/12, 98
2021/2/13, 90
2021/2/14, 81
2021/2/15, 67
2021/2/16, 77
2021/2/17, 82
2021/2/18, 76
2021/2/19, 112
2021/2/20, 65
2021/2/21, 86
2021/2/22, 99
2021/2/23, 100
2021/2/24, 72
2021/2/25, 82
2021/2/26, 126
2021/2/27, 125
2021/2/28, 81
2021/3/1, 106
2021/3/2, 133
2021/3/3, 116
2021/3/4, 108
2021/3/5, 76
2021/3/6, 88
2021/3/7, 72
2021/3/8, 110
2021/3/9, 78
2021/3/10, 89
2021/3/11, 93
2021/3/12, 101
2021/3/13, 84
2021/3/14, 94
2021/3/15, 114
2021/3/16, 139
2021/3/17, 152
2021/3/18, 129
2021/3/19, 87
2021/3/20, 81
2021/3/21, 87
2021/3/22, 113
2021/3/23, 85
2021/3/24, 117
2021/3/25, 97
2021/3/26, 110
2021/3/27, 114
2021/3/28, 83
2021/3/29, 69
2021/3/30, 81
2021/3/31, 80
2020/10/1, 79
2020/10/2, 93
2020/10/3, 93
2020/10/4, 92
2020/10/5, 87
2020/10/6, 99
2020/10/7, 107
2020/10/8, 118
2020/10/9, 115
2020/10/10, 132
2020/10/14, 122
2020/10/15, 152
2020/10/16, 151
2020/10/17, 154
2020/10/18, 143
2020/10/19, 159
2020/10/20, 165
2020/10/21, 155
2020/10/22, 116
2020/10/23, 94
2020/10/24, 110
2020/10/25, 147
