

New start of logging. Datetime: 2022.05.08_151225 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:12:25;-40,0;0;237,4;623,8;-50,5;61,5;-19,5;586,8;13860,0;-9450,0;-7700,0;0,0;0,0;-100,0;3,61;0,01
'05/08/2022 15:12:26;-40,0;0;236,9;623,6;-50,9;88,8;-32,7;851,7;18760,0;37590,0;-14910,0;0,0;0,0;-100,0;3,60;0,01
'05/08/2022 15:12:27;-40,0;0;236,9;623,5;-50,9;120,1;-48,9;908,4;2240,0;-38430,0;7420,0;0,0;0,0;-100,0;3,64;0,01
'05/08/2022 15:12:28;-40,0;0;236,6;623,7;-50,7;120,3;-38,5;1017,2;21000,0;5320,0;4480,0;0,0;0,0;-100,0;3,64;0,01
'05/08/2022 15:12:29;-40,0;0;236,4;623,5;-51,0;121,9;-46,2;1104,1;-6860,0;39130,0;3990,0;0,0;3,2;-100,0;3,65;0,01
'05/08/2022 15:12:30;-40,0;0;236,2;623,5;-50,9;138,9;-55,8;1116,2;-19950,0;-33950,0;19320,0;0,1;2,9;-100,0;3,65;0,01
'05/08/2022 15:12:31;-40,0;0;236,0;623,6;-50,8;127,6;-31,9;1117,3;21700,0;-26670,0;-8050,0;0,3;3,4;-100,0;3,66;0,01
'05/08/2022 15:12:32;-40,0;0;235,8;623,5;-50,9;97,5;-14,0;1139,1;33250,0;140,0;26880,0;0,5;7,6;-100,0;3,66;0,01
'05/08/2022 15:12:33;-40,0;0;235,5;623,6;-50,8;80,9;-10,2;1045,4;18760,0;12740,0;22330,0;0,4;6,8;-100,0;3,66;0,01
'05/08/2022 15:12:34;-40,0;0;235,2;623,3;-51,2;85,3;-35,3;1108,0;-3640,0;-11480,0;21140,0;0,5;7,1;-100,0;3,66;0,01
'05/08/2022 15:12:35;-40,0;0;235,0;623,4;-51,1;76,4;-16,5;1104,1;4900,0;14490,0;-21350,0;0,4;6,4;-100,0;3,67;0,01
'05/08/2022 15:12:35;-40,0;0;234,9;623,6;-50,8;84,6;-19,0;1031,3;3710,0;12810,0;4690,0;0,4;5,9;-100,0;3,66;0,01
'05/08/2022 15:12:36;-40,0;0;234,6;623,3;-51,1;94,9;-51,4;1101,0;2730,0;-9240,0;840,0;0,4;7,3;-100,0;3,67;0,01
'05/08/2022 15:12:37;-40,0;0;234,4;623,3;-51,2;77,1;-36,3;1117,2;9450,0;-1890,0;-5460,0;0,6;7,3;-100,0;3,66;0,01
'05/08/2022 15:12:38;-40,0;0;234,2;623,5;-51,0;97,0;-27,5;1082,4;-8470,0;490,0;-8330,0;0,6;6,8;-100,0;3,67;0,01
'05/08/2022 15:12:39;-40,0;0;233,9;623,2;-51,5;90,4;-37,6;1086,1;8680,0;-7700,0;1120,0;0,6;6,9;-100,0;3,66;0,01
'05/08/2022 15:12:40;-40,0;0;233,7;623,2;-51,5;63,7;-6,9;993,7;12670,0;18900,0;-38780,0;0,5;6,6;-100,0;3,67;0,01
'05/08/2022 15:12:41;-40,0;0;233,4;623,4;-51,2;74,2;-11,3;939,3;-22610,0;-6580,0;-7560,0;0,5;6,2;-100,0;3,66;0,01
'05/08/2022 15:12:42;-40,0;0;233,4;623,4;-51,2;99,2;-10,1;998,1;-16590,0;0,0;-16520,0;0,5;5,9;-100,0;3,66;0,01
'05/08/2022 15:12:43;-40,0;0;233,2;623,5;-51,2;112,7;-6,1;1046,3;19320,0;-18550,0;-23590,0;0,5;5,6;-100,0;3,66;0,01
'05/08/2022 15:12:44;-40,0;0;233,0;623,5;-51,1;107,0;-19,9;1049,0;-15260,0;6790,0;7910,0;0,4;5,3;-100,0;3,67;0,01
'05/08/2022 15:12:45;-40,0;0;232,9;623,5;-51,0;115,1;-19,9;1106,7;-420,0;70,0;350,0;0,4;5,5;-100,0;3,66;0,01
'05/08/2022 15:12:46;-40,0;0;232,7;623,6;-50,9;112,5;-6,5;1039,7;36050,0;1680,0;-25270,0;0,5;5,7;-100,0;3,66;0,01
'05/08/2022 15:12:47;-40,0;0;232,4;623,6;-50,9;113,0;-20,3;995,3;-27440,0;-8820,0;9800,0;0,5;5,5;-100,0;3,66;0,01
'05/08/2022 15:12:48;-40,0;0;232,3;623,6;-50,9;117,5;-7,7;1094,8;18060,0;-13160,0;-11830,0;0,5;5,2;-100,0;3,66;0,01
'05/08/2022 15:12:49;-40,0;0;232,0;623,7;-50,8;101,1;-4,1;1031,5;8890,0;45990,0;-5880,0;0,5;5,1;-100,0;3,66;0,01
'05/08/2022 15:12:49;-40,0;0;231,8;623,7;-50,8;118,8;-10,7;1062,5;6860,0;-43190,0;-12880,0;0,4;4,9;-100,0;3,66;0,01
'05/08/2022 15:12:50;-40,0;0;231,6;623,4;-51,1;124,8;-26,6;1193,2;14980,0;26460,0;7910,0;0,4;4,7;-100,0;3,66;0,01
'05/08/2022 15:12:51;-40,0;0;231,4;623,5;-51,0;117,2;-46,4;1052,7;-50260,0;-23030,0;13370,0;0,4;4,6;-100,0;3,66;0,01
'05/08/2022 15:12:52;-40,0;0;231,3;623,5;-51,0;107,2;-23,5;1058,3;18200,0;26250,0;420,0;0,4;4,4;-100,0;3,66;0,01
'05/08/2022 15:12:53;-40,0;0;231,1;623,5;-51,0;127,1;-20,1;1148,2;-17780,0;18200,0;-490,0;0,4;4,4;-100,0;3,66;0,01
'05/08/2022 15:12:54;-40,0;0;230,9;623,6;-50,9;134,9;-10,4;1096,8;26950,0;-69020,0;-14070,0;0,4;4,4;-100,0;3,65;0,01
'05/08/2022 15:12:55;-40,0;0;230,7;623,3;-51,2;116,0;-24,0;1188,0;-5460,0;22400,0;33880,0;0,4;4,5;-100,0;3,66;0,01
'05/08/2022 15:12:56;-40,0;0;230,5;623,3;-51,2;123,5;-36,4;1174,4;15750,0;38220,0;17290,0;0,4;4,5;-100,0;3,65;0,01
'05/08/2022 15:12:57;-40,0;0;230,2;623,3;-51,2;127,5;-53,4;1062,9;-31290,0;-60900,0;-15260,0;0,4;4,5;-100,0;3,66;0,01
'05/08/2022 15:12:58;-40,0;0;230,1;623,3;-51,2;138,5;-36,8;1264,5;5740,0;-4410,0;-12040,0;0,4;4,2;-100,0;3,65;0,01
'05/08/2022 15:12:59;-40,0;0;229,9;623,3;-51,3;127,4;-23,2;1216,2;35420,0;54950,0;-6230,0;0,4;4,1;-100,0;3,65;0,01
'05/08/2022 15:13:00;-40,0;0;229,6;623,2;-51,4;146,5;-39,0;1123,4;-21840,0;-61460,0;-560,0;0,4;3,9;-100,0;3,64;0,01
'05/08/2022 15:13:01;-40,0;0;229,5;623,1;-51,6;153,5;-42,2;1363,3;19810,0;-9100,0;-490,0;0,3;2,7;-100,0;3,65;0,01
'05/08/2022 15:13:02;-40,0;0;229,3;623,1;-51,6;98,5;-33,6;1077,3;-350,0;74060,0;13020,0;0,3;3,1;-100,0;3,64;0,01
'05/08/2022 15:13:02;-40,0;0;228,9;622,8;-51,9;157,6;-51,7;1218,0;-8540,0;-49000,0;0,0;0,3;2,8;-100,0;3,65;0,01
'05/08/2022 15:13:03;-40,0;0;228,7;622,9;-51,8;164,1;-51,8;1358,0;-12320,0;-42700,0;-23380,0;0,3;3,2;-100,0;3,64;0,01
'05/08/2022 15:13:04;-40,0;0;228,6;623,0;-51,8;102,1;-30,7;1031,0;5040,0;60340,0;-9380,0;0,4;4,2;-100,0;3,65;0,01
'05/08/2022 15:13:05;-40,0;0;228,3;622,8;-51,9;174,6;-37,1;1390,7;17850,0;1960,0;47600,0;0,4;3,6;-100,0;3,64;0,01
'05/08/2022 15:13:06;-40,0;0;228,1;623,0;-51,7;153,7;-45,1;1181,5;-53550,0;-35560,0;-140,0;0,3;3,4;-100,0;3,64;0,01
'05/08/2022 15:13:07;-40,0;0;228,1;623,0;-51,7;153,7;-45,1;1181,5;-53550,0;-35560,0;-140,0;0,3;3,4;-100,0;3,63;0,01
'05/08/2022 15:13:08;-40,0;0;228,0;622,9;-52,0;128,3;-7,0;1212,7;49420,0;19670,0;-48090,0;0,2;3,1;-100,0;3,64;0,01
'05/08/2022 15:13:09;-40,0;0;227,6;622,7;-52,2;154,0;-22,3;1357,5;-9800,0;45850,0;-25760,0;0,2;3,1;-100,0;3,63;0,01
