

New start of logging. Datetime: 2022.05.08_153346 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:33:46;-23,3;4;0,0;0,0;-30,5;289,3;200,1;734,3;28770,0;19880,0;24080,0;141,5;1587,1;-100,0;2,57;0,01
'05/08/2022 15:33:47;-40,0;99;0,0;0,0;-30,9;406,7;289,0;1090,2;2730,0;-22190,0;26950,0;250,9;1999,9;-100,0;2,57;0,01
'05/08/2022 15:33:48;-23,1;4;0,0;0,0;-30,2;473,2;338,2;1228,4;5320,0;8960,0;-11130,0;223,3;1999,9;-100,0;2,67;0,01
'05/08/2022 15:33:49;-23,0;4;0,0;0,0;-30,1;487,7;339,4;1283,9;22820,0;14490,0;30030,0;190,0;1810,2;-100,0;2,64;0,01
'05/08/2022 15:33:50;-23,0;4;0,0;0,0;-30,0;492,9;352,6;1308,7;-9730,0;-8050,0;-2100,0;155,5;1461,4;-100,0;2,61;0,01
'05/08/2022 15:33:51;-22,9;4;0,0;0,0;-30,0;511,6;363,9;1321,9;24150,0;11830,0;-5810,0;155,7;1318,6;-100,0;2,61;0,01
'05/08/2022 15:33:52;-22,8;5;0,0;0,0;-29,8;503,6;356,9;1331,9;490,0;-12110,0;25970,0;133,8;1133,1;-100,0;2,66;0,01
'05/08/2022 15:33:53;-22,7;5;0,0;0,0;-29,8;513,5;369,8;1335,0;-15400,0;980,0;-29050,0;135,1;1057,2;-100,0;2,67;0,01
'05/08/2022 15:33:54;-22,7;5;0,0;0,0;-29,7;518,4;359,6;1318,3;23660,0;23170,0;980,0;120,3;940,3;-100,0;2,69;0,01
'05/08/2022 15:33:55;-22,6;5;0,0;0,0;-29,6;510,8;357,1;1333,3;-9870,0;-11550,0;15190,0;119,7;901,5;-100,0;2,72;0,01
'05/08/2022 15:33:56;-22,5;5;0,0;0,0;-29,5;500,3;355,3;1333,7;-8260,0;-28210,0;7700,0;108,8;821,3;-100,0;2,68;0,01
'05/08/2022 15:33:57;-22,4;5;0,0;0,0;-29,4;507,3;362,8;1340,6;-2170,0;-1260,0;-10150,0;110,6;794,3;-100,0;2,72;0,01
'05/08/2022 15:33:58;-22,4;6;0,0;0,0;-29,4;501,1;357,6;1342,1;-14280,0;-10920,0;-700,0;102,2;734,1;-100,0;2,74;0,01
'05/08/2022 15:33:58;-22,3;6;0,0;0,0;-29,3;513,3;368,3;1350,2;-3220,0;-8960,0;-18480,0;108,4;717,9;-100,0;2,70;0,01
'05/08/2022 15:33:59;-22,2;6;0,0;0,0;-29,2;511,5;357,5;1345,2;16380,0;5530,0;25340,0;104,6;674,4;-100,0;2,82;0,01
'05/08/2022 15:34:00;-22,2;6;0,0;0,0;-29,2;502,9;356,9;1333,8;18410,0;2800,0;-7280,0;100,8;652,2;-100,0;2,75;0,01
'05/08/2022 15:34:01;-22,1;6;0,0;0,0;-29,1;508,6;365,6;1325,9;13370,0;4550,0;-14630,0;100,3;634,3;-100,0;2,82;0,01
'05/08/2022 15:34:02;-22,0;7;0,0;0,0;-29,0;503,6;360,6;1337,2;9940,0;-13580,0;1540,0;96,1;613,7;-100,0;2,85;0,01
'05/08/2022 15:34:03;-22,0;7;0,0;0,0;-28,9;506,4;361,4;1343,8;-29260,0;4970,0;-9520,0;99,0;609,0;-100,0;2,86;0,01
'05/08/2022 15:34:04;-21,9;7;0,0;0,0;-28,8;518,4;373,7;1335,9;840,0;-2520,0;-18340,0;94,1;578,8;-100,0;2,82;0,01
'05/08/2022 15:34:05;-21,8;7;0,0;0,0;-28,7;509,4;352,2;1329,4;1680,0;3080,0;43680,0;95,0;577,8;-100,0;2,88;0,01
'05/08/2022 15:34:06;-21,7;7;0,0;0,0;-28,7;500,6;361,5;1339,2;-30660,0;-20650,0;-3710,0;90,8;551,7;-100,0;2,82;0,01
'05/08/2022 15:34:07;-21,7;8;0,0;0,0;-28,6;521,7;376,6;1341,2;1820,0;4620,0;-21910,0;93,6;551,7;-100,0;2,88;0,01
'05/08/2022 15:34:08;-21,6;8;0,0;0,0;-28,5;510,5;356,3;1341,5;14000,0;3010,0;19320,0;89,7;528,9;-100,0;2,88;0,01
'05/08/2022 15:34:09;-21,5;8;0,0;0,0;-28,4;504,8;360,9;1349,1;-15890,0;-24570,0;15120,0;91,6;526,8;-100,0;2,85;0,01
