

New start of logging. Datetime: 2022.05.08_152329 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:23:29;-27,0;0;16,6;634,4;-34,5;62,5;-14,7;591,5;-70,0;-490,0;-350,0;0,1;0,1;-100,0;2,84;0,01
'05/08/2022 15:23:30;-27,0;0;16,2;634,4;-34,4;89,5;-20,4;847,0;4480,0;-4760,0;-420,0;4,2;82,1;-100,0;2,75;0,01
'05/08/2022 15:23:31;-27,0;0;16,2;634,5;-34,3;91,5;-21,6;888,3;-4480,0;4270,0;1540,0;2,8;54,7;-100,0;2,90;0,01
'05/08/2022 15:23:32;-26,9;0;16,3;634,5;-34,3;95,2;-22,9;930,4;-5670,0;8190,0;2590,0;2,1;41,0;-100,0;2,86;0,01
'05/08/2022 15:23:33;-26,9;0;16,3;634,5;-34,2;103,1;-22,8;978,0;5460,0;-6020,0;-1890,0;1,6;32,8;-100,0;2,88;0,01
'05/08/2022 15:23:34;-26,9;0;16,2;634,5;-34,2;108,8;-24,9;1029,1;4690,0;-7770,0;-1960,0;1,4;27,3;-100,0;2,85;0,01
'05/08/2022 15:23:35;-26,8;0;16,1;634,5;-34,1;108,3;-27,8;1053,5;-5460,0;7000,0;3780,0;1,2;23,4;-100,0;2,92;0,01
'05/08/2022 15:23:36;-26,8;0;16,2;634,6;-34,1;102,4;-26,5;1011,0;-1960,0;6020,0;1610,0;1,0;20,5;-100,0;2,91;0,01
'05/08/2022 15:23:37;-26,7;0;16,0;634,6;-34,1;100,0;-24,3;969,7;3570,0;-10220,0;-2660,0;0,9;18,2;-100,0;2,93;0,01
'05/08/2022 15:23:38;-26,7;0;16,2;634,6;-34,1;100,3;-24,9;983,3;1330,0;-4060,0;-350,0;0,8;16,4;-100,0;2,91;0,01
'05/08/2022 15:23:39;-26,7;0;16,1;634,6;-34,1;98,2;-25,3;976,8;-2730,0;8050,0;1960,0;0,7;14,9;-100,0;2,87;0,01
'05/08/2022 15:23:40;-26,7;0;16,2;634,7;-34,0;106,9;-26,5;1039,7;70,0;4270,0;-210,0;0,7;13,6;-100,0;2,83;0,01
'05/08/2022 15:23:41;-26,7;0;16,2;634,7;-34,0;111,0;-27,0;1052,9;1120,0;-10500,0;-210,0;0,6;12,6;-100,0;2,86;0,01
'05/08/2022 15:23:41;-26,6;0;16,1;634,7;-33,9;107,0;-26,5;1017,9;-3640,0;2660,0;-1540,0;0,6;11,7;-100,0;2,86;0,01
'05/08/2022 15:23:42;-26,6;0;16,1;634,7;-33,9;100,7;-24,6;965,5;-280,0;8470,0;420,0;0,5;10,9;-100,0;2,89;0,01
'05/08/2022 15:23:43;-26,6;0;16,0;634,8;-33,9;108,3;-26,0;1019,6;2030,0;-140,0;-1960,0;0,5;10,2;-100,0;2,94;0,01
'05/08/2022 15:23:44;-26,5;0;16,1;634,8;-33,8;109,3;-26,8;1023,0;-560,0;-6370,0;-2380,0;0,4;9,6;-100,0;2,93;0,01
'05/08/2022 15:23:45;-26,5;0;15,9;634,8;-33,8;111,0;-28,5;1060,9;-1400,0;2520,0;-350,0;0,4;9,1;-100,0;2,93;0,01
'05/08/2022 15:23:46;-26,5;0;16,1;634,8;-33,8;106,4;-27,0;1031,0;-1260,0;3920,0;-1050,0;0,4;8,6;-100,0;2,90;0,01
'05/08/2022 15:23:47;-26,5;0;16,0;634,8;-33,8;100,0;-25,3;975,0;5250,0;-7630,0;-2870,0;0,4;8,2;-100,0;2,93;0,01
'05/08/2022 15:23:48;-26,5;0;16,0;634,9;-33,8;103,1;-26,6;996,7;4270,0;-6300,0;-1540,0;0,4;7,8;-100,0;2,97;0,01
'05/08/2022 15:23:49;-26,5;0;16,0;634,9;-33,7;102,1;-30,0;1007,1;-9380,0;7910,0;4830,0;0,3;7,4;-100,0;2,88;0,01
'05/08/2022 15:23:50;-26,5;0;16,0;634,9;-33,7;107,1;-28,7;1039,6;-3220,0;4480,0;770,0;0,3;7,1;-100,0;2,96;0,01
'05/08/2022 15:23:51;-26,5;0;15,9;634,9;-33,7;110,0;-24,5;1043,6;13720,0;-5040,0;-5040,0;0,3;6,8;-100,0;2,92;0,01
'05/08/2022 15:23:52;-26,4;0;15,9;634,9;-33,7;104,1;-23,6;993,9;-2030,0;-980,0;-2870,0;0,3;6,5;-100,0;2,96;0,01
