

New start of logging. Datetime: 2022.05.08_004046 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 00:40:46;27,8;55;0,0;0,0;24,5;43,4;-46,9;555,5;-560,0;-3710,0;-2590,0;12,4;28,7;-100,0;4,25;0,02
'05/08/2022 00:40:47;27,9;55;0,0;0,0;24,5;24,8;-34,0;816,7;-3150,0;-5040,0;-13300,0;19,3;53,7;-100,0;4,25;0,03
'05/08/2022 00:40:48;27,8;55;0,0;0,0;24,5;9,4;-15,1;928,9;-1190,0;-840,0;-1750,0;21,0;67,9;-100,0;4,25;0,02
'05/08/2022 00:40:49;27,9;55;0,0;0,0;24,6;0,7;-5,4;976,3;-280,0;-210,0;-350,0;21,3;73,8;-100,0;4,25;0,03
'05/08/2022 00:40:50;27,8;55;0,0;0,0;24,6;-3,2;-1,2;997,0;-70,0;-70,0;-70,0;23,1;77,3;-100,0;4,25;0,02
'05/08/2022 00:40:51;27,8;55;0,0;0,0;24,5;-4,8;0,7;1006,2;0,0;-70,0;0,0;22,7;80,4;-100,0;4,25;0,03
'05/08/2022 00:40:52;27,8;55;0,0;0,0;24,6;-5,4;1,5;1010,2;0,0;0,0;-70,0;23,1;80,6;-100,0;4,25;0,02
'05/08/2022 00:40:53;27,8;55;0,0;0,0;24,6;-5,7;1,9;1011,7;0,0;0,0;0,0;23,0;79,1;-100,0;4,25;0,03
'05/08/2022 00:40:54;27,8;55;0,0;0,0;24,6;-5,9;2,0;1012,1;0,0;0,0;0,0;22,9;80,8;-100,0;4,25;0,02
'05/08/2022 00:40:55;27,8;54;0,0;0,0;24,6;-6,0;2,1;1012,5;0,0;0,0;0,0;22,9;82,1;-100,0;4,25;0,03
'05/08/2022 00:40:56;27,8;54;0,0;0,0;24,6;-6,0;2,1;1012,5;0,0;0,0;0,0;23,3;87,5;-100,0;4,25;0,02
'05/08/2022 00:40:56;27,8;54;0,0;0,0;24,6;-6,0;2,2;1012,5;0,0;0,0;0,0;23,5;90,0;-100,0;4,25;0,03
'05/08/2022 00:40:57;27,8;54;0,0;0,0;24,6;-6,0;2,3;1012,4;0,0;0,0;0,0;23,3;89,0;-100,0;4,25;0,02
'05/08/2022 00:40:58;27,9;54;0,0;0,0;24,6;-5,9;2,2;1012,5;0,0;0,0;0,0;23,6;89,0;-100,0;4,25;0,03
'05/08/2022 00:40:59;27,8;54;0,0;0,0;24,6;-5,9;2,2;1012,8;0,0;0,0;0,0;23,9;91,3;-100,0;4,25;0,02
'05/08/2022 00:41:00;27,8;54;0,0;0,0;24,6;-5,9;2,2;1012,6;0,0;0,0;0,0;24,0;91,9;-100,0;4,25;0,03
'05/08/2022 00:41:01;27,8;54;0,0;0,0;24,6;-6,0;2,2;1012,7;0,0;-70,0;0,0;24,0;91,3;-100,0;4,25;0,02
'05/08/2022 00:41:02;27,8;54;0,0;0,0;24,6;-5,8;2,0;1012,7;70,0;70,0;0,0;24,0;91,7;-100,0;4,25;0,03
'05/08/2022 00:41:03;27,8;54;0,0;0,0;24,6;-5,7;2,0;1012,9;0,0;0,0;0,0;24,2;92,5;-100,0;4,25;0,02
'05/08/2022 00:41:04;27,9;55;0,0;0,0;24,6;-5,7;2,0;1012,8;0,0;0,0;0,0;24,2;93,5;-100,0;4,25;0,03
'05/08/2022 00:41:05;27,9;55;0,0;0,0;24,6;-5,7;2,1;1012,7;0,0;0,0;0,0;24,3;95,0;-100,0;4,25;0,02
'05/08/2022 00:41:06;27,9;54;0,0;0,0;24,6;-5,8;2,1;1012,5;0,0;0,0;0,0;24,2;94,2;-100,0;4,25;0,03
'05/08/2022 00:41:07;27,9;54;0,0;0,0;24,6;-5,8;2,0;1012,6;0,0;0,0;0,0;24,3;93,8;-100,0;4,25;0,02
'05/08/2022 00:41:08;27,9;54;0,0;0,0;24,6;-5,7;2,0;1012,6;0,0;0,0;0,0;24,4;95,6;-100,0;4,25;0,03
'05/08/2022 00:41:08;27,9;55;0,0;0,0;24,6;-5,9;1,0;1012,6;-140,0;-140,0;3850,0;24,4;96,6;-100,0;4,25;0,02
