

New start of logging. Datetime: 2022.05.08_140906 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 14:09:06;38,1;20;974,5;39,3;35,2;-112,1;-16,3;552,7;490,0;-420,0;-1820,0;4,2;22,5;-100,0;4,19;0,04
'05/08/2022 14:09:07;38,1;20;974,5;39,3;35,3;-118,7;-12,7;804,0;4900,0;11900,0;-910,0;5,9;24,8;-100,0;4,19;0,04
'05/08/2022 14:09:08;38,1;20;974,5;39,3;35,3;-159,5;9,2;914,2;-1260,0;630,0;-2870,0;5,9;21,4;-100,0;4,19;0,04
'05/08/2022 14:09:09;38,1;20;974,5;39,3;35,3;-170,3;16,6;961,7;-210,0;560,0;-4970,0;6,2;21,9;-100,0;4,19;0,04
'05/08/2022 14:09:10;38,1;20;974,5;39,3;35,3;-169,6;24,1;986,2;2170,0;-1890,0;4270,0;6,3;19,6;-100,0;4,19;0,04
'05/08/2022 14:09:11;38,1;20;974,6;39,3;35,3;-160,4;36,1;992,4;-2800,0;1120,0;840,0;6,3;25,1;-100,0;4,19;0,04
'05/08/2022 14:09:12;38,1;20;974,5;39,3;35,3;-145,1;44,8;999,0;1750,0;0,0;700,0;6,3;24,7;-100,0;4,19;0,04
'05/08/2022 14:09:13;38,0;20;974,6;39,3;35,3;-125,6;37,4;1003,2;8330,0;10150,0;-6650,0;6,1;24,2;-100,0;4,19;0,04
'05/08/2022 14:09:14;38,0;20;974,5;39,3;35,3;-98,1;12,5;1007,6;-8400,0;560,0;-1260,0;6,3;27,1;-100,0;4,19;0,04
'05/08/2022 14:09:15;38,0;20;974,5;39,2;35,3;-94,5;11,3;1007,6;-7910,0;-13860,0;210,0;6,2;25,6;-100,0;4,19;0,04
'05/08/2022 14:09:16;38,0;20;974,5;39,2;35,3;-69,4;1,7;1008,0;18690,0;6090,0;2030,0;6,2;25,7;-100,0;4,19;0,04
'05/08/2022 14:09:16;38,0;20;974,5;39,3;35,3;-29,0;25,3;1011,9;-1190,0;6300,0;4550,0;6,2;24,8;-100,0;4,19;0,04
'05/08/2022 14:09:17;38,0;20;974,5;39,2;35,3;-0,2;37,8;1011,8;-1400,0;6300,0;-490,0;6,1;24,6;-100,0;4,19;0,04
'05/08/2022 14:09:18;38,0;20;974,5;39,2;35,3;14,1;46,2;1010,8;5670,0;7420,0;1400,0;6,1;25,4;-100,0;4,19;0,04
'05/08/2022 14:09:19;38,0;20;974,4;39,2;35,2;18,7;46,3;1010,6;-2730,0;-7140,0;1400,0;6,2;25,3;-100,0;4,19;0,04
'05/08/2022 14:09:20;38,0;20;974,5;39,1;35,1;10,8;33,9;1011,8;1750,0;2520,0;2310,0;6,2;25,4;-100,0;4,19;0,04
'05/08/2022 14:09:21;37,9;20;974,5;39,0;35,1;1,3;25,1;1009,7;2030,0;-1890,0;-70,0;6,2;24,4;-100,0;4,19;0,04
'05/08/2022 14:09:22;37,8;19;974,5;38,9;35,0;4,2;26,4;1009,0;-420,0;1470,0;1050,0;6,1;23,6;-100,0;4,19;0,04
'05/08/2022 14:09:23;37,8;19;974,5;38,9;35,0;12,6;37,1;1007,4;10290,0;-11830,0;-4200,0;6,1;23,3;-100,0;4,19;0,04
'05/08/2022 14:09:24;37,8;19;974,5;38,9;34,9;-11,5;35,7;1008,8;-1540,0;-5320,0;1470,0;6,2;23,2;-100,0;4,19;0,04
'05/08/2022 14:09:25;37,8;19;974,5;38,9;34,9;-20,1;30,7;1010,6;-5950,0;-3220,0;490,0;6,2;22,9;-100,0;4,19;0,04
'05/08/2022 14:09:26;37,7;19;974,7;38,9;34,9;-12,2;18,2;1010,8;7980,0;3010,0;5880,0;6,1;22,3;-100,0;4,19;0,04
'05/08/2022 14:09:27;37,7;19;974,6;38,9;34,9;-4,6;24,4;1009,8;-840,0;-1750,0;210,0;6,0;21,8;-100,0;4,19;0,04
'05/08/2022 14:09:27;37,7;20;974,5;38,9;34,9;-10,7;31,9;1010,8;-6090,0;-4200,0;-2870,0;6,2;22,0;-100,0;4,19;0,04
'05/08/2022 14:09:28;37,7;20;974,4;38,8;34,9;-39,8;44,1;1007,5;7490,0;7560,0;17220,0;6,2;21,6;-100,0;4,19;0,04
'05/08/2022 14:09:29;37,7;20;974,6;38,8;34,8;-82,7;78,3;1002,5;-2170,0;-7770,0;-12530,0;6,2;22,5;-100,0;4,19;0,04
'05/08/2022 14:09:30;37,6;20;974,5;38,8;34,9;-65,0;82,0;1004,1;630,0;3220,0;-420,0;6,2;22,4;-100,0;4,19;0,04
'05/08/2022 14:09:31;37,5;20;974,7;38,7;34,7;-32,9;68,5;1005,1;1960,0;-12250,0;7140,0;6,3;22,6;-100,0;4,19;0,04
'05/08/2022 14:09:32;37,5;20;974,6;38,7;34,8;-21,5;50,4;1008,1;-6650,0;6090,0;-2590,0;6,2;22,4;-100,0;4,19;0,04
'05/08/2022 14:09:33;37,5;20;974,5;38,7;34,7;11,0;22,4;1005,3;-3640,0;39270,0;6160,0;6,2;22,0;-100,0;4,19;0,04
'05/08/2022 14:09:34;37,5;20;974,6;38,8;34,8;49,9;-7,0;1008,0;-12600,0;-6090,0;-2940,0;6,2;21,7;-100,0;4,19;0,04
'05/08/2022 14:09:35;37,6;20;974,5;38,8;34,8;105,8;-80,3;999,1;11900,0;17360,0;15820,0;6,2;22,2;-100,0;4,19;0,04
'05/08/2022 14:09:36;37,6;20;974,5;38,8;34,8;66,8;-62,2;1006,7;-8540,0;-5040,0;-4760,0;6,2;22,5;-100,0;4,19;0,04
'05/08/2022 14:09:37;37,5;20;974,5;38,8;34,7;39,7;-57,8;1010,7;3570,0;-19180,0;-1960,0;6,3;22,3;-100,0;4,19;0,04
'05/08/2022 14:09:38;37,5;20;974,6;38,7;34,8;57,3;-35,2;1009,0;-9870,0;27300,0;8190,0;6,2;22,4;-100,0;4,19;0,04
'05/08/2022 14:09:39;37,5;20;974,5;38,8;34,8;10,4;-42,2;1009,9;980,0;-20160,0;7210,0;6,2;21,1;-100,0;4,19;0,04
'05/08/2022 14:09:39;37,5;20;974,6;38,8;34,7;1,2;-40,1;1012,4;10990,0;-41160,0;-1610,0;6,1;21,0;-100,0;4,19;0,04
'05/08/2022 14:09:40;37,5;20;974,5;38,7;34,7;1,8;-40,6;1009,8;3850,0;16800,0;910,0;6,2;21,1;-100,0;4,19;0,04
'05/08/2022 14:09:41;37,5;20;974,6;38,7;34,6;40,4;-66,3;1006,6;4830,0;2170,0;-2520,0;6,2;21,0;-100,0;4,19;0,04
'05/08/2022 14:09:42;37,5;20;974,6;38,7;34,6;65,7;-56,7;1007,0;-420,0;3290,0;-3710,0;6,2;21,1;-100,0;4,19;0,04
'05/08/2022 14:09:43;37,5;20;974,5;38,7;34,7;53,9;-38,7;1009,1;-3920,0;-18760,0;-3640,0;6,2;20,7;-100,0;4,19;0,04
'05/08/2022 14:09:44;37,5;20;974,5;38,6;34,6;59,9;-32,3;1008,3;1470,0;12880,0;-490,0;6,2;20,8;-100,0;4,19;0,04
'05/08/2022 14:09:45;37,4;20;974,6;38,6;34,6;82,5;-31,6;1006,5;-12110,0;16730,0;-37800,0;6,2;20,6;-100,0;4,19;0,04
'05/08/2022 14:09:46;37,4;20;974,5;38,6;34,6;40,4;-55,2;1009,2;12040,0;25830,0;68320,0;6,3;20,1;-100,0;4,19;0,04
'05/08/2022 14:09:47;37,4;20;974,5;38,6;34,6;-394,9;-54,6;784,2;29890,0;17220,0;-1750,0;6,2;19,8;-100,0;4,19;0,04
'05/08/2022 14:09:48;37,4;21;974,6;38,6;34,6;-744,1;-88,3;409,2;-3360,0;-15330,0;630,0;6,1;19,4;-100,0;4,19;0,04
'05/08/2022 14:09:49;37,4;21;974,5;38,6;34,6;-894,7;-91,5;230,4;-350,0;-11060,0;-8680,0;6,1;19,5;-100,0;4,19;0,04
'05/08/2022 14:09:50;37,3;20;974,5;38,5;34,5;-960,6;-78,6;148,8;2870,0;15610,0;3710,0;6,1;19,7;-100,0;4,19;0,04
'05/08/2022 14:09:51;37,3;20;974,5;38,5;34,5;-960,6;-78,6;148,8;2870,0;15610,0;3710,0;6,2;20,9;-100,0;4,19;0,04
