

New start of logging. Datetime: 2022.05.08_004113 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 00:41:13;25,1;47;971,0;26,1;21,5;-6,1;1,2;558,8;-70,0;560,0;-560,0;8,1;16,6;-100,0;4,25;0,02
'05/08/2022 00:41:14;25,1;47;970,9;26,1;21,6;-8,8;1,9;816,4;0,0;140,0;-140,0;9,9;32,8;-100,0;4,25;0,02
'05/08/2022 00:41:15;25,1;47;971,0;26,1;21,6;-10,1;2,2;928,1;0,0;0,0;-70,0;9,9;33,9;-100,0;4,25;0,02
'05/08/2022 00:41:16;25,1;47;971,0;26,1;21,6;-10,6;2,4;976,5;0,0;0,0;-70,0;10,6;36,1;-100,0;4,25;0,02
'05/08/2022 00:41:17;25,1;47;971,1;26,1;21,6;-10,7;2,4;997,5;0,0;0,0;0,0;11,1;43,5;-100,0;4,25;0,02
'05/08/2022 00:41:18;25,1;47;971,0;26,1;21,6;-10,8;2,4;1006,6;-70,0;-70,0;0,0;11,2;43,8;-100,0;4,25;0,02
'05/08/2022 00:41:19;25,1;47;971,1;26,1;21,6;-8,8;0,5;1010,4;70,0;210,0;0,0;11,6;43,1;-100,0;4,25;0,02
'05/08/2022 00:41:20;25,1;47;970,9;26,1;21,6;-9,4;1,5;1012,1;-140,0;-140,0;-70,0;11,4;43,7;-100,0;4,25;0,02
'05/08/2022 00:41:21;25,1;47;970,9;26,1;21,6;-10,1;2,3;1013,0;-70,0;0,0;-70,0;11,5;43,4;-100,0;4,25;0,02
'05/08/2022 00:41:22;25,1;47;971,0;26,1;21,6;-10,3;2,6;1013,5;0,0;0,0;0,0;11,9;45,5;-100,0;4,25;0,02
'05/08/2022 00:41:23;25,1;47;970,9;26,1;21,6;-10,5;2,7;1013,5;0,0;0,0;0,0;11,9;45,8;-100,0;4,25;0,02
'05/08/2022 00:41:23;25,1;46;970,9;26,1;21,6;-10,5;2,8;1013,3;0,0;-70,0;0,0;11,9;47,6;-100,0;4,25;0,02
'05/08/2022 00:41:24;25,1;46;971,0;26,1;21,7;-10,6;2,9;1013,3;0,0;0,0;0,0;11,7;45,9;-100,0;4,25;0,02
'05/08/2022 00:41:25;25,1;46;970,9;26,1;21,7;-10,6;2,9;1013,4;-70,0;-70,0;0,0;12,1;48,0;-100,0;4,25;0,02
'05/08/2022 00:41:26;25,1;46;970,9;26,1;21,6;-10,5;2,8;1013,3;0,0;0,0;0,0;12,4;48,1;-100,0;4,25;0,02
'05/08/2022 00:41:27;25,1;46;970,8;26,1;21,6;-10,4;2,9;1013,4;0,0;0,0;0,0;12,5;47,0;-100,0;4,25;0,02
'05/08/2022 00:41:28;25,1;46;970,9;26,1;21,6;-10,5;2,9;1013,4;0,0;0,0;0,0;12,5;47,5;-100,0;4,25;0,02
'05/08/2022 00:41:29;25,1;46;970,9;26,1;21,7;-10,5;2,9;1013,4;0,0;0,0;0,0;12,6;47,2;-100,0;4,25;0,02
'05/08/2022 00:41:30;25,1;46;970,9;26,1;21,7;-10,6;2,9;1013,4;0,0;0,0;0,0;12,8;47,7;-100,0;4,25;0,02
'05/08/2022 00:41:31;25,1;46;970,8;26,1;21,6;-10,5;2,9;1013,4;0,0;0,0;0,0;12,7;46,5;-100,0;4,25;0,02
'05/08/2022 00:41:32;25,1;46;971,0;26,1;21,7;-10,4;2,8;1013,3;0,0;0,0;0,0;12,7;46,2;-100,0;4,25;0,02
'05/08/2022 00:41:33;25,1;46;970,9;26,1;21,6;-10,5;2,9;1013,2;0,0;0,0;0,0;12,6;45,9;-100,0;4,25;0,02
'05/08/2022 00:41:34;25,1;46;971,0;26,1;21,6;-10,5;2,8;1013,1;0,0;0,0;0,0;12,7;46,0;-100,0;4,25;0,02
