

New start of logging. Datetime: 2022.05.10_003347 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/10/2022 00:33:47;20,2;69;1514,5;20,9;16,5;-69,4;-566,0;-77,5;280,0;-210,0;-700,0;2,0;20,1;-100,0;2,59;0,01
'05/10/2022 00:33:48;20,2;69;1514,6;20,9;16,4;-99,4;-810,6;-111,3;0,0;-70,0;-140,0;2,0;19,0;-100,0;2,58;0,01
'05/10/2022 00:33:49;20,2;69;1514,4;20,9;16,4;-112,4;-916,2;-125,9;0,0;-70,0;-70,0;2,1;16,6;-100,0;2,59;0,01
'05/10/2022 00:33:50;20,2;69;1514,5;20,9;16,4;-118,0;-961,9;-132,0;0,0;-70,0;0,0;2,0;15,7;-100,0;2,59;0,01
'05/10/2022 00:33:51;20,2;69;1514,5;20,9;16,5;-120,4;-981,6;-134,7;0,0;0,0;0,0;2,1;14,5;-100,0;2,59;0,01
'05/10/2022 00:33:52;20,2;69;1514,5;20,9;16,4;-121,4;-990,2;-135,4;0,0;0,0;0,0;1,9;13,4;-100,0;2,59;0,01
'05/10/2022 00:33:53;20,2;69;1514,7;21,0;16,5;-121,9;-993,9;-135,5;0,0;0,0;0,0;2,0;12,8;-100,0;2,59;0,01
'05/10/2022 00:33:54;20,2;69;1514,6;21,0;16,4;-122,1;-995,5;-135,5;0,0;0,0;0,0;2,1;13,1;-100,0;2,59;0,01
'05/10/2022 00:33:55;20,2;69;1514,5;21,0;16,5;-122,1;-996,1;-135,7;0,0;0,0;0,0;2,1;13,7;-100,0;2,59;0,01
'05/10/2022 00:33:56;20,2;69;1514,5;21,0;16,5;-122,2;-996,4;-136,2;0,0;0,0;0,0;2,1;13,4;-100,0;2,59;0,01
'05/10/2022 00:33:57;20,2;69;1514,5;21,0;16,5;-122,2;-996,6;-136,0;0,0;0,0;0,0;2,2;13,0;-100,0;2,59;0,01
'05/10/2022 00:33:57;20,2;69;1514,7;21,0;16,5;-122,2;-996,7;-136,0;0,0;-70,0;0,0;2,3;13,8;-100,0;2,59;0,01
'05/10/2022 00:33:58;20,2;69;1514,6;21,0;16,5;-122,2;-996,7;-136,2;0,0;0,0;0,0;2,3;13,3;-100,0;2,59;0,01
'05/10/2022 00:33:59;20,2;69;1514,5;21,0;16,5;-122,2;-996,7;-136,2;-70,0;0,0;0,0;2,3;13,9;-100,0;2,59;0,01
'05/10/2022 00:34:00;20,2;69;1514,7;21,0;16,5;-122,2;-996,7;-136,2;0,0;0,0;0,0;2,3;13,5;-100,0;2,59;0,01
