

New start of logging. Datetime: 2022.05.10_004027 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/10/2022 00:40:27;23,5;47;972,5;24,5;19,7;-71,9;-549,5;-74,7;-70,0;560,0;-560,0;1,8;19,4;-100,0;3,01;0,02
'05/10/2022 00:40:28;23,5;47;972,4;24,5;19,7;-104,9;-801,1;-107,4;0,0;70,0;-140,0;3,6;15,0;-100,0;3,00;0,02
'05/10/2022 00:40:29;23,5;47;972,4;24,5;19,8;-119,1;-909,8;-121,3;-70,0;0,0;-70,0;3,6;13,2;-100,0;3,01;0,02
'05/10/2022 00:40:30;23,5;47;972,4;24,5;19,7;-125,3;-956,8;-127,7;0,0;0,0;0,0;3,6;11,8;-100,0;3,01;0,02
'05/10/2022 00:40:31;23,5;47;972,5;24,5;19,8;-127,9;-977,2;-130,5;0,0;0,0;0,0;3,6;10,8;-100,0;3,01;0,02
'05/10/2022 00:40:32;23,4;47;972,5;24,5;19,8;-129,0;-985,9;-131,8;0,0;0,0;0,0;3,5;10,2;-100,0;3,00;0,02
'05/10/2022 00:40:33;23,4;47;972,5;24,5;19,7;-129,6;-989,8;-132,8;0,0;0,0;0,0;3,5;15,1;-100,0;3,01;0,02
'05/10/2022 00:40:34;23,4;47;972,5;24,5;19,8;-129,8;-991,4;-132,9;0,0;0,0;0,0;3,6;14,4;-100,0;3,00;0,02
'05/10/2022 00:40:35;23,4;47;972,4;24,5;19,8;-129,9;-992,1;-132,5;0,0;0,0;0,0;3,5;13,7;-100,0;3,00;0,02
'05/10/2022 00:40:36;23,4;47;972,4;24,5;19,8;-129,9;-992,4;-132,6;0,0;0,0;0,0;3,6;13,3;-100,0;3,00;0,02
'05/10/2022 00:40:37;23,4;46;972,4;24,5;19,7;-129,9;-992,5;-133,0;0,0;0,0;0,0;3,5;13,6;-100,0;3,00;0,02
'05/10/2022 00:40:38;23,4;46;972,4;24,4;19,7;-129,9;-992,7;-134,4;0,0;0,0;0,0;3,5;13,2;-100,0;3,00;0,02
'05/10/2022 00:40:38;23,4;46;972,4;24,5;19,7;-129,9;-992,7;-134,0;0,0;0,0;0,0;3,5;12,6;-100,0;3,00;0,02
'05/10/2022 00:40:39;23,4;46;972,5;24,5;19,7;-129,9;-992,7;-133,2;0,0;0,0;0,0;3,4;13,1;-100,0;3,00;0,02
'05/10/2022 00:40:40;23,4;46;972,4;24,5;19,8;-129,9;-992,7;-133,1;0,0;0,0;0,0;3,5;12,8;-100,0;3,00;0,02
'05/10/2022 00:40:41;23,4;46;972,4;24,5;19,8;-129,9;-992,7;-133,1;0,0;0,0;0,0;3,6;12,7;-100,0;3,00;0,02
'05/10/2022 00:40:42;23,4;46;972,4;24,5;19,8;-129,9;-992,7;-132,8;0,0;0,0;0,0;3,6;12,4;-100,0;3,00;0,02
'05/10/2022 00:40:43;23,4;46;972,4;24,5;19,7;-129,9;-992,7;-132,9;-70,0;0,0;0,0;3,5;12,2;-100,0;3,00;0,02
'05/10/2022 00:40:44;23,4;46;972,4;24,5;19,8;-129,9;-992,6;-132,5;0,0;0,0;0,0;3,5;12,0;-100,0;3,00;0,02
'05/10/2022 00:40:45;23,5;47;972,5;24,5;19,8;-129,9;-992,7;-132,3;0,0;0,0;0,0;3,6;11,7;-100,0;3,00;0,02
'05/10/2022 00:40:46;23,5;47;972,4;24,5;19,8;-129,9;-992,7;-132,7;0,0;0,0;0,0;3,5;11,5;-100,0;3,00;0,02
'05/10/2022 00:40:47;23,5;47;972,3;24,5;19,8;-129,9;-992,7;-132,7;0,0;0,0;0,0;3,6;11,3;-100,0;3,00;0,02
'05/10/2022 00:40:48;23,5;47;972,4;24,5;19,8;-129,9;-992,6;-132,3;0,0;0,0;0,0;3,6;11,3;-100,0;3,00;0,02
'05/10/2022 00:40:49;23,5;47;972,4;24,6;19,8;-129,8;-992,6;-131,9;0,0;0,0;0,0;3,5;11,1;-100,0;3,00;0,02
'05/10/2022 00:40:50;23,5;47;972,3;24,6;19,9;-129,8;-992,6;-131,8;0,0;0,0;0,0;3,6;11,0;-100,0;3,00;0,02
'05/10/2022 00:40:50;23,5;48;972,4;24,6;19,9;-129,8;-992,6;-131,8;0,0;0,0;0,0;3,5;10,9;-100,0;3,00;0,02
'05/10/2022 00:40:51;23,5;48;972,4;24,6;19,9;-129,9;-992,6;-131,8;0,0;0,0;0,0;3,5;10,8;-100,0;2,99;0,02
'05/10/2022 00:40:52;23,5;48;972,3;24,6;19,9;-129,9;-992,6;-131,8;0,0;0,0;0,0;3,6;10,7;-100,0;3,00;0,02
'05/10/2022 00:40:53;23,5;48;972,4;24,6;19,9;-129,9;-992,7;-132,2;0,0;0,0;0,0;3,6;10,7;-100,0;3,00;0,02
'05/10/2022 00:40:54;23,5;48;972,3;24,6;19,9;-129,8;-992,6;-132,4;0,0;0,0;0,0;3,6;10,8;-100,0;3,00;0,02
'05/10/2022 00:40:55;23,5;48;972,3;24,6;19,9;-129,8;-992,6;-132,5;0,0;0,0;0,0;3,7;10,5;-100,0;3,00;0,02
'05/10/2022 00:40:56;23,5;48;972,4;24,6;19,9;-129,8;-992,7;-132,8;0,0;0,0;0,0;3,6;10,5;-100,0;3,00;0,02
'05/10/2022 00:40:57;23,5;48;972,4;24,6;19,9;-129,8;-992,7;-133,1;0,0;0,0;0,0;3,7;10,9;-100,0;3,00;0,02
'05/10/2022 00:40:58;23,5;48;972,4;24,6;19,9;-129,9;-992,7;-133,5;0,0;0,0;0,0;3,7;11,0;-100,0;3,00;0,02
'05/10/2022 00:40:59;23,5;47;972,4;24,6;19,8;-129,9;-992,7;-133,7;0,0;0,0;0,0;3,7;11,1;-100,0;3,00;0,02
'05/10/2022 00:41:00;23,6;47;972,4;24,6;19,9;-129,9;-992,7;-133,5;0,0;0,0;0,0;3,7;11,1;-100,0;3,00;0,02
'05/10/2022 00:41:01;23,6;47;972,4;24,6;19,9;-129,8;-992,7;-133,1;0,0;0,0;0,0;3,7;9,9;-100,0;3,00;0,02
'05/10/2022 00:41:02;23,6;47;972,3;24,7;19,9;-129,8;-992,7;-132,7;0,0;0,0;0,0;3,6;9,9;-100,0;2,99;0,02
'05/10/2022 00:41:03;23,6;47;972,4;24,7;20,0;-129,8;-992,7;-132,5;0,0;0,0;0,0;3,6;9,9;-100,0;3,00;0,02
'05/10/2022 00:41:03;23,6;47;972,5;24,7;20,0;-129,8;-992,7;-132,9;0,0;0,0;0,0;3,6;9,8;-100,0;2,99;0,02
'05/10/2022 00:41:04;23,6;47;972,3;24,7;19,9;-129,8;-992,7;-133,2;0,0;0,0;0,0;3,6;9,8;-100,0;2,99;0,02
'05/10/2022 00:41:05;23,6;47;972,4;24,7;20,0;-129,7;-992,7;-133,3;0,0;0,0;0,0;3,6;9,9;-100,0;2,99;0,02
'05/10/2022 00:41:06;23,6;47;972,5;24,7;20,0;-129,7;-992,8;-133,2;0,0;0,0;0,0;3,6;9,9;-100,0;2,99;0,02
'05/10/2022 00:41:07;23,6;47;972,3;24,7;20,0;-129,7;-992,8;-133,2;0,0;0,0;0,0;3,6;9,6;-100,0;2,99;0,02
'05/10/2022 00:41:08;23,6;47;972,3;24,7;20,0;-129,8;-992,8;-133,4;0,0;0,0;0,0;3,6;9,8;-100,0;2,99;0,02
'05/10/2022 00:41:09;23,7;47;972,3;24,7;20,0;-129,9;-992,8;-133,5;0,0;0,0;0,0;3,6;9,8;-100,0;2,99;0,02
'05/10/2022 00:41:10;23,7;47;972,4;24,7;20,0;-129,8;-992,9;-133,2;0,0;0,0;0,0;3,6;9,7;-100,0;2,99;0,02
'05/10/2022 00:41:11;23,7;47;972,5;24,8;20,1;-129,7;-993,0;-132,9;0,0;0,0;0,0;3,7;9,8;-100,0;2,99;0,02
'05/10/2022 00:41:12;23,7;47;972,4;24,7;20,0;-129,8;-993,0;-133,5;0,0;0,0;0,0;3,7;9,9;-100,0;2,99;0,02
'05/10/2022 00:41:13;23,7;47;972,4;24,7;20,0;-129,8;-993,0;-133,5;0,0;0,0;0,0;3,7;10,0;-100,0;2,99;0,02
'05/10/2022 00:41:14;23,7;47;972,3;24,8;20,1;-129,7;-993,0;-133,8;0,0;0,0;0,0;3,8;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:15;23,7;47;972,3;24,8;20,1;-129,8;-993,0;-133,8;0,0;0,0;0,0;3,8;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:16;23,7;47;972,4;24,8;20,1;-129,8;-992,9;-133,2;0,0;0,0;0,0;3,8;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:16;23,7;47;972,3;24,8;20,1;-129,8;-993,0;-132,8;0,0;0,0;0,0;3,8;11,3;-100,0;2,99;0,02
'05/10/2022 00:41:17;23,8;47;972,5;24,8;20,1;-129,8;-992,9;-132,9;0,0;0,0;0,0;3,8;11,3;-100,0;2,99;0,02
'05/10/2022 00:41:18;23,8;47;972,2;24,9;20,1;-129,7;-992,9;-132,6;0,0;0,0;0,0;3,8;11,6;-100,0;2,99;0,02
'05/10/2022 00:41:19;23,8;48;972,4;24,9;20,2;-129,7;-992,9;-132,6;0,0;-70,0;0,0;3,8;11,7;-100,0;2,99;0,02
'05/10/2022 00:41:20;23,8;48;972,3;24,9;20,2;-129,8;-993,0;-133,0;0,0;0,0;0,0;3,8;11,7;-100,0;2,99;0,02
'05/10/2022 00:41:21;23,8;48;972,3;24,8;20,2;-129,7;-993,0;-133,7;0,0;0,0;0,0;3,7;11,6;-100,0;2,99;0,02
'05/10/2022 00:41:22;23,8;48;972,4;24,9;20,2;-129,7;-992,9;-133,7;0,0;0,0;0,0;3,8;11,6;-100,0;2,99;0,02
'05/10/2022 00:41:23;23,8;48;972,2;24,9;20,2;-129,8;-992,9;-133,7;0,0;0,0;0,0;3,7;11,3;-100,0;2,99;0,02
'05/10/2022 00:41:24;23,9;48;972,3;24,9;20,2;-129,7;-992,9;-133,3;0,0;0,0;0,0;3,7;11,7;-100,0;2,99;0,02
'05/10/2022 00:41:25;23,9;48;972,3;24,9;20,2;-129,7;-992,9;-133,0;0,0;0,0;0,0;3,7;11,7;-100,0;2,99;0,02
'05/10/2022 00:41:26;23,9;48;972,4;24,9;20,2;-129,7;-993,0;-133,4;0,0;0,0;0,0;3,6;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:27;23,9;48;972,4;24,9;20,2;-129,7;-993,0;-134,0;0,0;0,0;0,0;3,6;11,0;-100,0;2,99;0,02
'05/10/2022 00:41:28;23,9;48;972,4;24,9;20,2;-129,8;-993,0;-134,0;0,0;0,0;0,0;3,6;11,2;-100,0;2,99;0,02
'05/10/2022 00:41:28;23,9;47;972,2;24,9;20,2;-129,8;-993,0;-133,8;0,0;0,0;0,0;3,6;11,2;-100,0;2,99;0,02
'05/10/2022 00:41:29;23,9;47;972,4;25,0;20,3;-129,8;-993,0;-133,7;0,0;0,0;0,0;3,6;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:30;23,9;47;972,4;25,0;20,3;-129,8;-992,9;-133,7;0,0;0,0;0,0;3,6;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:31;23,9;47;972,3;25,0;20,3;-129,7;-993,0;-133,8;0,0;0,0;0,0;3,6;11,2;-100,0;2,99;0,02
'05/10/2022 00:41:32;23,9;47;972,4;25,0;20,3;-129,7;-993,0;-133,8;0,0;0,0;0,0;3,6;11,2;-100,0;2,99;0,02
'05/10/2022 00:41:33;23,9;47;972,3;25,0;20,3;-129,7;-993,0;-134,2;0,0;0,0;0,0;3,7;11,1;-100,0;2,99;0,02
'05/10/2022 00:41:34;23,9;47;972,3;24,9;20,2;-129,7;-993,0;-135,2;0,0;0,0;0,0;3,7;11,0;-100,0;2,99;0,02
'05/10/2022 00:41:35;23,9;47;972,4;25,0;20,3;-129,7;-993,0;-135,0;0,0;0,0;0,0;3,7;10,9;-100,0;2,99;0,02
'05/10/2022 00:41:36;23,9;47;972,3;25,0;20,3;-129,7;-993,0;-134,3;0,0;0,0;0,0;3,7;11,0;-100,0;2,99;0,02
'05/10/2022 00:41:37;23,9;47;972,3;24,9;20,3;-129,7;-993,0;-135,5;0,0;0,0;0,0;3,8;10,8;-100,0;2,99;0,02
'05/10/2022 00:41:38;23,9;47;972,3;24,9;20,3;-129,7;-993,0;-135,7;0,0;0,0;0,0;3,7;10,7;-100,0;2,99;0,02
'05/10/2022 00:41:39;23,9;46;972,3;25,0;20,3;-129,7;-993,0;-135,3;0,0;0,0;0,0;3,8;10,9;-100,0;2,99;0,02
'05/10/2022 00:41:40;23,9;46;972,3;25,0;20,3;-129,7;-993,0;-135,1;0,0;0,0;0,0;3,7;10,8;-100,0;2,98;0,02
'05/10/2022 00:41:41;23,9;46;972,4;25,0;20,3;-129,7;-993,0;-135,5;0,0;0,0;0,0;3,7;10,8;-100,0;2,98;0,02
'05/10/2022 00:41:41;23,9;46;972,4;24,9;20,3;-129,7;-993,0;-135,2;0,0;0,0;0,0;3,7;10,7;-100,0;2,99;0,02
'05/10/2022 00:41:42;23,9;46;972,4;24,9;20,3;-129,7;-993,0;-135,8;0,0;0,0;0,0;3,6;9,7;-100,0;2,98;0,02
'05/10/2022 00:41:43;24,0;46;972,4;25,0;20,3;-129,7;-993,0;-135,3;0,0;0,0;0,0;3,6;9,7;-100,0;2,98;0,02
'05/10/2022 00:41:44;24,0;46;972,4;25,0;20,4;-129,7;-993,0;-135,0;0,0;0,0;0,0;3,7;9,7;-100,0;2,98;0,02
'05/10/2022 00:41:45;24,0;46;972,4;25,0;20,4;-129,7;-993,0;-134,5;0,0;0,0;0,0;3,8;9,6;-100,0;2,98;0,02
'05/10/2022 00:41:46;24,0;46;972,2;25,0;20,4;-129,7;-992,9;-134,2;0,0;0,0;0,0;3,8;9,6;-100,0;2,98;0,02
'05/10/2022 00:41:47;24,0;46;972,4;25,0;20,4;-129,8;-992,9;-133,8;0,0;0,0;0,0;3,8;9,3;-100,0;2,97;0,02
'05/10/2022 00:41:48;24,0;46;972,2;25,0;20,4;-129,9;-992,9;-134,2;0,0;0,0;0,0;3,8;9,4;-100,0;2,98;0,02
