

New start of logging. Datetime: 2022.05.08_004356 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 00:43:56;37,2;20;975,0;38,6;34,3;-123,5;29,1;538,4;11060,0;560,0;-7350,0;7,2;36,9;-100,0;4,25;0,04
'05/08/2022 00:43:57;37,2;20;974,8;38,6;34,3;-226,6;190,3;749,9;-2100,0;3430,0;-490,0;9,8;34,2;-100,0;4,24;0,05
'05/08/2022 00:43:58;37,1;20;975,0;38,5;34,3;-348,7;340,6;779,7;-24360,0;-11410,0;5320,0;9,4;27,7;-100,0;4,25;0,04
'05/08/2022 00:43:59;37,1;20;974,9;38,5;34,2;-411,1;333,0;797,1;-1400,0;-9520,0;14070,0;9,3;27,4;-100,0;4,25;0,05
'05/08/2022 00:44:00;37,0;20;974,9;38,4;34,2;-374,4;327,1;848,8;16310,0;-3010,0;1120,0;8,9;26,8;-100,0;4,25;0,04
'05/08/2022 00:44:01;37,0;20;975,1;38,4;34,2;-262,5;416,8;854,5;4130,0;-5040,0;-4480,0;8,5;26,6;-100,0;4,25;0,05
'05/08/2022 00:44:02;37,0;20;974,9;38,4;34,1;-162,3;463,3;862,6;-14140,0;-15610,0;-7350,0;8,2;25,9;-100,0;4,25;0,04
'05/08/2022 00:44:03;37,0;20;974,9;38,3;34,2;-47,1;337,5;928,5;-22540,0;-17850,0;10990,0;8,1;24,6;-100,0;4,25;0,05
'05/08/2022 00:44:04;37,0;20;975,0;38,4;34,1;-16,5;178,5;980,7;-2450,0;7770,0;31290,0;7,8;23,7;-100,0;4,25;0,04
'05/08/2022 00:44:05;36,9;20;974,9;38,4;34,1;-239,1;-155,3;879,3;36120,0;-17920,0;-8540,0;7,7;27,7;-100,0;4,25;0,05
'05/08/2022 00:44:06;37,0;20;975,0;38,4;34,2;-417,2;-272,6;824,2;46130,0;-19390,0;20580,0;7,5;27,3;-100,0;4,25;0,04
'05/08/2022 00:44:06;37,0;20;974,9;38,4;34,2;-428,1;-202,7;864,7;28980,0;5600,0;11340,0;7,6;26,6;-100,0;4,25;0,05
'05/08/2022 00:44:07;37,0;20;974,8;38,4;34,2;-251,5;-64,8;939,9;-17920,0;4130,0;9730,0;7,6;27,4;-100,0;4,25;0,04
'05/08/2022 00:44:08;37,0;20;975,0;38,4;34,2;-81,8;-59,2;986,2;-16100,0;-4060,0;-33950,0;7,6;28,3;-100,0;4,25;0,05
'05/08/2022 00:44:09;37,0;20;975,0;38,4;34,2;-42,0;-32,0;1002,5;-630,0;-560,0;8960,0;7,4;27,6;-100,0;4,25;0,04
'05/08/2022 00:44:10;37,0;20;975,0;38,4;34,2;-21,2;-19,0;1010,2;-70,0;-350,0;1540,0;7,4;26,8;-100,0;4,25;0,05
'05/08/2022 00:44:11;37,0;20;975,0;38,5;34,2;-11,8;-13,2;1014,1;0,0;-70,0;350,0;7,4;26,5;-100,0;4,25;0,04
'05/08/2022 00:44:12;37,0;20;975,0;38,4;34,2;-8,1;-11,0;1015,2;-70,0;0,0;70,0;7,3;25,8;-100,0;4,25;0,05
'05/08/2022 00:44:13;36,9;20;975,0;38,3;34,1;-7,1;-10,9;1014,2;910,0;0,0;0,0;7,2;25,6;-100,0;4,25;0,04
'05/08/2022 00:44:14;36,9;20;975,0;38,3;34,1;-5,8;-9,9;1014,2;-210,0;0,0;-70,0;7,2;25,1;-100,0;4,25;0,05
'05/08/2022 00:44:15;36,9;20;974,9;38,3;34,1;-5,6;-9,6;1013,7;0,0;0,0;0,0;7,2;24,8;-100,0;4,25;0,04
'05/08/2022 00:44:16;36,9;20;974,9;38,3;34,1;-5,3;-9,6;1014,0;0,0;0,0;-140,0;7,1;24,6;-100,0;4,25;0,05
'05/08/2022 00:44:17;36,9;20;975,0;38,3;34,1;-5,4;-9,6;1014,5;0,0;0,0;-70,0;7,0;24,4;-100,0;4,25;0,04
'05/08/2022 00:44:18;36,9;20;975,0;38,3;34,1;-5,5;-9,5;1014,6;-70,0;0,0;0,0;7,0;24,0;-100,0;4,25;0,05
'05/08/2022 00:44:18;36,9;20;975,0;38,3;34,1;-5,5;-9,6;1014,6;0,0;-70,0;-70,0;7,0;25,2;-100,0;4,25;0,04
'05/08/2022 00:44:19;36,8;20;975,0;38,3;34,1;-5,4;-9,7;1014,5;0,0;-70,0;-70,0;6,9;25,3;-100,0;4,24;0,05
'05/08/2022 00:44:20;36,9;20;975,0;38,3;34,1;-5,7;-9,7;1014,6;-70,0;0,0;280,0;7,0;26,5;-100,0;4,24;0,04
'05/08/2022 00:44:21;36,8;20;974,9;38,3;34,1;-5,4;-10,0;1014,8;0,0;210,0;-140,0;7,2;30,6;-100,0;4,24;0,05
'05/08/2022 00:44:22;36,8;20;974,9;38,3;34,1;-5,8;-9,7;1015,0;-70,0;-70,0;-70,0;7,3;34,0;-100,0;4,24;0,04
'05/08/2022 00:44:23;36,8;20;974,9;38,3;34,1;-5,8;-10,0;1014,9;0,0;-70,0;-70,0;7,5;36,5;-100,0;4,24;0,05
'05/08/2022 00:44:24;36,9;20;975,0;38,3;34,1;-5,7;-9,7;1015,3;-70,0;0,0;-70,0;7,8;38,0;-100,0;4,24;0,04
'05/08/2022 00:44:25;36,9;20;975,0;38,3;34,1;-5,6;-9,4;1015,7;-210,0;-70,0;0,0;7,8;41,6;-100,0;4,24;0,05
