

New start of logging. Datetime: 2022.05.08_152450 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:24:50;-25,6;0;15,0;635,5;-32,7;63,6;-14,5;614,3;5250,0;770,0;140,0;0,0;0,0;-100,0;3,03;0,01
'05/08/2022 15:24:51;-25,6;0;15,1;635,5;-32,7;86,0;-20,1;829,8;1610,0;-2170,0;-1330,0;0,0;0,0;-100,0;2,95;0,01
'05/08/2022 15:24:52;-25,5;0;15,2;635,6;-32,7;90,5;-22,9;881,9;-7630,0;-280,0;140,0;0,0;0,0;-100,0;3,06;0,01
'05/08/2022 15:24:53;-25,5;0;15,0;635,6;-32,7;99,1;-24,2;964,2;-4340,0;3220,0;630,0;0,0;0,0;-100,0;3,07;0,01
'05/08/2022 15:24:54;-25,5;0;15,1;635,6;-32,7;103,4;-23,3;998,7;6720,0;-490,0;-1540,0;0,0;0,0;-100,0;3,09;0,01
'05/08/2022 15:24:55;-25,5;0;15,0;635,6;-32,6;109,1;-26,8;1049,6;1190,0;-3430,0;280,0;0,0;0,0;-100,0;3,07;0,01
'05/08/2022 15:24:56;-25,6;0;15,0;635,6;-32,7;104,6;-28,6;1015,9;-4200,0;-210,0;210,0;0,0;0,0;-100,0;3,08;0,01
'05/08/2022 15:24:57;-25,6;0;15,1;635,6;-32,7;99,0;-26,7;973,0;2870,0;2240,0;-840,0;0,0;0,0;-100,0;3,07;0,01
'05/08/2022 15:24:58;-25,6;0;15,0;635,6;-32,7;99,4;-26,4;975,5;5810,0;420,0;-1050,0;0,0;0,0;-100,0;3,10;0,01
'05/08/2022 15:24:59;-25,6;0;14,9;635,6;-32,7;101,2;-28,7;990,2;-2590,0;-1260,0;630,0;0,0;0,0;-100,0;3,09;0,01
'05/08/2022 15:25:00;-25,6;0;15,0;635,6;-32,7;104,5;-28,9;1014,2;-3710,0;-1680,0;140,0;0,0;0,0;-100,0;3,11;0,01
'05/08/2022 15:25:00;-25,6;0;15,0;635,6;-32,6;106,7;-26,7;1027,7;3710,0;210,0;-1400,0;0,0;0,0;-100,0;3,07;0,01
'05/08/2022 15:25:01;-25,6;0;14,9;635,6;-32,7;105,0;-25,8;1008,5;1680,0;3080,0;-910,0;0,0;0,0;-100,0;3,10;0,01
'05/08/2022 15:25:02;-25,6;0;14,9;635,6;-32,7;102,4;-26,2;987,2;-4970,0;1890,0;420,0;0,0;0,0;-100,0;3,10;0,01
'05/08/2022 15:25:03;-25,5;0;14,8;635,6;-32,7;103,6;-26,3;993,6;-2940,0;-2100,0;0,0;0,0;0,0;-100,0;3,10;0,01
'05/08/2022 15:25:04;-25,5;0;14,9;635,6;-32,6;104,6;-24,9;1003,8;4060,0;-1890,0;-980,0;0,0;0,0;-100,0;3,10;0,01
