

New start of logging. Datetime: 2022.05.08_134619 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 13:46:19;39,0;21;974,8;40,6;36,4;-28,6;-23,7;556,0;-9590,0;-8750,0;0,0;3,7;8,7;-100,0;4,22;0,04
'05/08/2022 13:46:20;39,0;21;974,8;40,6;36,4;-31,4;-55,7;814,4;1400,0;-1470,0;700,0;4,3;18,4;-100,0;4,22;0,05
'05/08/2022 13:46:21;39,1;21;974,7;40,6;36,5;-11,2;-85,9;927,3;630,0;-2940,0;560,0;5,8;28,9;-100,0;4,22;0,04
'05/08/2022 13:46:22;39,0;21;974,8;40,6;36,5;5,8;-66,9;973,5;7210,0;11130,0;-7140,0;6,6;32,8;-100,0;4,22;0,05
'05/08/2022 13:46:23;39,0;21;974,8;40,6;36,5;13,7;-48,4;997,8;-6230,0;-5460,0;1750,0;7,0;46,4;-100,0;4,22;0,04
'05/08/2022 13:46:24;39,0;21;974,7;40,6;36,5;9,8;-49,2;1005,6;-10570,0;-5390,0;3290,0;7,2;43,2;-100,0;4,22;0,05
'05/08/2022 13:46:25;39,0;21;974,7;40,6;36,5;-16,3;-32,7;1008,5;-4550,0;-8330,0;2240,0;7,0;44,8;-100,0;4,22;0,04
'05/08/2022 13:46:26;39,1;21;974,8;40,6;36,5;-19,6;-45,5;1013,9;4550,0;1680,0;770,0;7,5;46,5;-100,0;4,22;0,05
'05/08/2022 13:46:27;39,0;21;974,7;40,6;36,5;7,8;-16,8;1013,0;-3430,0;-3430,0;-3010,0;7,7;47,8;-100,0;4,22;0,04
'05/08/2022 13:46:28;39,1;21;974,8;40,6;36,5;-7,6;-23,2;1012,5;-7420,0;3710,0;-6860,0;7,8;48,4;-100,0;4,22;0,05
'05/08/2022 13:46:29;39,1;21;974,8;40,6;36,5;-33,7;-16,4;1012,5;23030,0;8330,0;-14490,0;7,6;48,3;-100,0;4,22;0,04
'05/08/2022 13:46:29;39,1;21;974,7;40,6;36,5;-67,8;-34,5;1009,2;-2940,0;-7980,0;-1750,0;7,7;47,9;-100,0;4,22;0,05
'05/08/2022 13:46:30;39,1;20;974,8;40,6;36,6;2,0;-39,3;1012,4;4690,0;-12950,0;6930,0;7,6;46,0;-100,0;4,22;0,04
'05/08/2022 13:46:31;39,1;20;974,8;40,6;36,5;62,3;-72,8;1006,6;4200,0;-3990,0;700,0;7,6;44,7;-100,0;4,22;0,05
'05/08/2022 13:46:32;39,1;21;974,7;40,6;36,5;99,1;-110,0;1002,0;4830,0;-490,0;22610,0;7,6;44,5;-100,0;4,22;0,04
'05/08/2022 13:46:33;39,1;21;974,7;40,6;36,6;32,1;-106,9;1005,4;210,0;3850,0;1400,0;7,6;44,1;-100,0;4,22;0,05
'05/08/2022 13:46:34;39,1;21;974,7;40,7;36,5;-76,6;-79,2;1002,8;-420,0;-8960,0;560,0;7,6;43,1;-100,0;4,22;0,04
'05/08/2022 13:46:35;39,1;21;974,8;40,6;36,6;-47,2;-90,0;1008,1;24920,0;9940,0;-1260,0;7,7;47,3;-100,0;4,22;0,05
'05/08/2022 13:46:36;39,1;21;974,8;40,6;36,6;-46,1;-78,9;1008,6;-9310,0;-1330,0;1050,0;7,9;48,6;-100,0;4,22;0,04
'05/08/2022 13:46:37;39,1;21;974,8;40,6;36,5;-66,6;-120,2;1004,7;14210,0;-770,0;-840,0;8,3;54,7;-100,0;4,22;0,05
'05/08/2022 13:46:38;39,1;21;974,8;40,6;36,5;-56,4;-141,4;1003,8;6370,0;4340,0;-6020,0;8,3;58,2;-100,0;4,22;0,04
'05/08/2022 13:46:39;39,1;21;974,9;40,6;36,6;-67,5;-122,9;1006,9;5180,0;3150,0;-3920,0;8,4;57,7;-100,0;4,22;0,05
'05/08/2022 13:46:40;39,1;21;974,7;40,7;36,5;-69,3;-90,2;1008,2;4060,0;-8680,0;-6930,0;8,9;62,2;-100,0;4,22;0,04
'05/08/2022 13:46:40;39,1;21;974,8;40,7;36,6;-35,3;-62,8;1010,4;-6020,0;-7280,0;13300,0;9,0;65,2;-100,0;4,22;0,05
'05/08/2022 13:46:41;39,1;20;974,7;40,7;36,6;-18,8;-75,0;1012,2;-2380,0;-6650,0;5600,0;9,1;68,3;-100,0;4,22;0,04
'05/08/2022 13:46:42;39,1;20;974,8;40,7;36,6;-43,9;-117,0;1007,6;-6860,0;2240,0;-8960,0;9,1;67,9;-100,0;4,22;0,05
'05/08/2022 13:46:43;39,1;20;974,8;40,7;36,6;-57,3;-152,5;1001,5;-14630,0;3570,0;-2030,0;9,1;68,1;-100,0;4,22;0,04
'05/08/2022 13:46:44;39,1;20;974,8;40,7;36,6;-82,0;-200,7;989,5;3360,0;70,0;-1120,0;9,2;69,7;-100,0;4,22;0,05
'05/08/2022 13:46:45;39,1;20;974,7;40,7;36,6;-84,2;-209,7;990,4;-2800,0;2170,0;-560,0;9,2;71,0;-100,0;4,22;0,04
'05/08/2022 13:46:46;39,1;20;974,7;40,7;36,6;-69,6;-223,0;989,0;3290,0;350,0;-1330,0;9,1;70,6;-100,0;4,22;0,05
'05/08/2022 13:46:47;39,1;20;974,8;40,7;36,6;-61,9;-221,1;988,9;-350,0;2030,0;4760,0;9,2;71,6;-100,0;4,22;0,04
'05/08/2022 13:46:48;39,1;20;974,8;40,7;36,6;-61,7;-199,0;993,2;1330,0;2730,0;-1540,0;9,4;74,8;-100,0;4,22;0,05
'05/08/2022 13:46:49;39,1;20;975,0;40,7;36,6;-75,9;-158,6;998,4;-2730,0;2450,0;-2170,0;9,4;74,6;-100,0;4,22;0,04
'05/08/2022 13:46:50;39,1;20;974,7;40,7;36,7;-81,7;-145,4;1001,1;-980,0;5740,0;-560,0;9,3;74,1;-100,0;4,22;0,05
'05/08/2022 13:46:51;39,1;20;974,8;40,7;36,6;-65,5;-155,2;1000,9;2380,0;5810,0;1610,0;9,4;72,4;-100,0;4,22;0,04
'05/08/2022 13:46:52;39,1;20;974,9;40,7;36,6;-19,9;-112,4;1006,7;-9940,0;1750,0;-1680,0;9,4;72,7;-100,0;4,22;0,05
'05/08/2022 13:46:52;39,2;20;974,8;40,7;36,6;46,2;-84,9;1008,3;-6580,0;14490,0;-4200,0;9,5;72,1;-100,0;4,22;0,04
'05/08/2022 13:46:53;39,1;20;974,8;40,7;36,6;69,2;-69,4;1008,6;9450,0;10010,0;-41860,0;9,4;71,5;-100,0;4,22;0,05
'05/08/2022 13:46:54;39,1;20;974,8;40,7;36,6;63,9;-49,3;1011,1;-1750,0;-350,0;-17220,0;9,5;71,4;-100,0;4,22;0,04
'05/08/2022 13:46:55;39,1;20;974,7;40,7;36,6;40,4;-60,4;1011,4;9800,0;-26880,0;-4340,0;9,4;74,3;-100,0;4,22;0,05
