

New start of logging. Datetime: 2022.05.08_004030 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 00:40:30;27,7;68;0,0;0,0;24,4;-37,6;-21,3;556,3;-1330,0;980,0;-770,0;13,8;44,3;-100,0;4,12;0,02
'05/08/2022 00:40:31;27,7;69;0,0;0,0;24,4;-46,8;-17,1;812,4;-9380,0;4130,0;-12250,0;24,1;113,7;-100,0;4,11;0,03
'05/08/2022 00:40:32;27,7;70;0,0;0,0;24,4;-49,0;-6,1;923,6;-5250,0;3220,0;70,0;27,4;116,9;-100,0;4,12;0,02
'05/08/2022 00:40:33;27,7;69;0,0;0,0;24,4;-78,3;-59,6;967,4;-3080,0;1400,0;-1190,0;28,1;131,2;-100,0;4,11;0,03
'05/08/2022 00:40:34;27,7;69;0,0;0,0;24,4;-105,6;-130,3;977,3;-4200,0;-3500,0;4830,0;29,8;144,3;-100,0;4,12;0,02
'05/08/2022 00:40:35;27,7;69;0,0;0,0;24,5;-105,0;-166,0;982,5;3500,0;4480,0;-3150,0;29,5;135,6;-100,0;4,11;0,03
'05/08/2022 00:40:36;27,7;69;0,0;0,0;24,5;-99,4;-107,5;994,8;-4410,0;280,0;-3080,0;30,6;137,0;-100,0;4,11;0,02
'05/08/2022 00:40:37;27,7;69;0,0;0,0;24,4;-113,8;-87,9;1000,3;-14140,0;140,0;-3220,0;30,4;135,7;-100,0;4,11;0,03
'05/08/2022 00:40:38;27,7;68;0,0;0,0;24,5;-137,4;-131,5;990,2;3010,0;2310,0;2940,0;30,9;137,0;-100,0;4,11;0,02
'05/08/2022 00:40:39;27,7;68;0,0;0,0;24,5;-145,1;-137,2;988,6;7980,0;630,0;9310,0;31,4;135,8;-100,0;4,11;0,03
'05/08/2022 00:40:40;27,7;67;0,0;0,0;24,4;-127,9;-87,9;998,1;-1120,0;560,0;-2100,0;31,5;134,8;-100,0;4,11;0,02
'05/08/2022 00:40:40;27,7;66;0,0;0,0;24,5;-115,6;-57,0;1002,8;280,0;-210,0;280,0;31,7;133,2;-100,0;4,11;0,03
'05/08/2022 00:40:41;27,7;65;0,0;0,0;24,5;-107,4;-45,4;1004,7;-2660,0;1190,0;-1260,0;31,6;134,9;-100,0;4,11;0,02
