

New start of logging. Datetime: 2022.05.08_152423 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:24:23;-26,0;0;15,6;635,3;-33,2;88,4;-22,9;853,5;420,0;2310,0;-420,0;0,0;0,0;-100,0;2,95;0,01
'05/08/2022 15:24:24;-26,0;0;15,6;635,3;-33,2;88,4;-22,9;853,5;420,0;2310,0;-420,0;0,0;0,0;-100,0;2,86;0,01
'05/08/2022 15:24:25;-26,0;0;15,4;635,3;-33,2;91,8;-22,6;909,4;3920,0;4760,0;700,0;0,0;0,0;-100,0;2,99;0,01
'05/08/2022 15:24:26;-25,9;0;15,4;635,3;-33,1;93,6;-23,8;921,4;0,0;-6720,0;-420,0;0,0;0,0;-100,0;2,98;0,01
'05/08/2022 15:24:27;-25,9;0;15,5;635,3;-33,1;96,9;-25,8;954,2;-1750,0;-4200,0;70,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:28;-25,9;0;15,4;635,4;-33,0;95,8;-25,9;959,7;-2100,0;7000,0;2310,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:29;-25,8;0;15,3;635,4;-33,0;102,0;-26,2;1001,6;350,0;3430,0;700,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:30;-25,8;0;15,5;635,4;-32,9;108,0;-26,6;1034,7;2450,0;-6370,0;-1680,0;0,0;0,0;-100,0;3,00;0,01
'05/08/2022 15:24:31;-25,7;0;15,5;635,5;-32,9;109,4;-27,1;1048,6;1190,0;-2730,0;770,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:32;-25,7;0;15,4;635,5;-32,9;104,4;-26,3;1009,5;-4060,0;4690,0;630,0;0,0;0,0;-100,0;3,00;0,01
'05/08/2022 15:24:33;-25,7;0;15,2;635,5;-32,8;99,8;-24,0;972,5;-4550,0;4200,0;1890,0;0,0;0,0;-100,0;3,04;0,01
'05/08/2022 15:24:34;-25,6;0;15,4;635,5;-32,8;103,3;-23,2;992,0;2730,0;-2520,0;-980,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:35;-25,6;0;15,2;635,6;-32,8;107,0;-24,2;1021,8;5530,0;-4480,0;-1120,0;0,0;0,0;-100,0;3,03;0,01
'05/08/2022 15:24:35;-25,6;0;15,3;635,6;-32,8;107,4;-27,1;1036,0;-2450,0;560,0;1680,0;0,0;0,0;-100,0;3,02;0,01
'05/08/2022 15:24:36;-25,6;0;15,3;635,6;-32,7;105,3;-28,4;1027,6;-6020,0;3850,0;2520,0;0,0;0,0;-100,0;3,03;0,01
'05/08/2022 15:24:37;-25,6;0;15,3;635,5;-32,8;100,2;-26,9;979,0;6020,0;490,0;-1260,0;0,0;0,0;-100,0;3,02;0,01
'05/08/2022 15:24:38;-25,6;0;15,2;635,5;-32,8;101,2;-27,0;979,4;6860,0;-2240,0;-2450,0;0,0;0,0;-100,0;3,06;0,01
'05/08/2022 15:24:39;-25,6;0;15,2;635,5;-32,8;102,2;-30,2;993,1;-8260,0;1190,0;2240,0;0,0;0,0;-100,0;3,04;0,01
'05/08/2022 15:24:40;-25,6;0;15,3;635,5;-32,8;106,5;-30,4;1032,8;-6160,0;1960,0;2100,0;0,0;0,0;-100,0;3,04;0,01
'05/08/2022 15:24:41;-25,6;0;15,2;635,5;-32,8;108,9;-26,7;1049,6;9380,0;-630,0;-1400,0;0,0;0,0;-100,0;3,05;0,01
'05/08/2022 15:24:42;-25,6;0;15,3;635,5;-32,7;102,8;-24,7;998,0;-1540,0;280,0;-1400,0;0,0;0,0;-100,0;3,06;0,01
'05/08/2022 15:24:43;-25,6;0;15,3;635,6;-32,7;100,1;-25,2;978,7;-10290,0;-1330,0;1470,0;0,0;0,0;-100,0;3,04;0,01
'05/08/2022 15:24:44;-25,5;0;15,2;635,6;-32,7;104,9;-24,0;1022,5;2170,0;630,0;-280,0;0,0;0,0;-100,0;3,06;0,01
'05/08/2022 15:24:45;-25,5;0;15,3;635,6;-32,7;106,4;-23,7;1030,7;7630,0;-140,0;-1610,0;0,0;0,0;-100,0;3,04;0,01
'05/08/2022 15:24:46;-25,5;0;15,3;635,6;-32,7;107,8;-27,2;1040,5;-3430,0;-2170,0;1050,0;0,0;0,0;-100,0;3,07;0,01
