

New start of logging. Datetime: 2022.05.08_152235 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:22:35;-28,7;0;17,6;633,2;-36,3;59,0;-16,9;547,9;-4340,0;-5460,0;1820,0;11,5;205,9;-100,0;2,75;0,01
'05/08/2022 15:22:36;-28,7;0;17,2;633,2;-36,3;88,0;-23,4;830,9;-4550,0;-3570,0;210,0;89,7;1296,9;-100,0;2,63;0,01
'05/08/2022 15:22:37;-28,6;0;17,3;633,2;-36,5;99,1;-23,1;950,6;8190,0;6230,0;-560,0;185,5;1974,5;-100,0;2,61;0,01
'05/08/2022 15:22:38;-28,6;0;17,5;633,2;-36,2;99,4;-21,9;959,0;-70,0;2590,0;-2100,0;152,2;1665,5;-100,0;2,75;0,01
'05/08/2022 15:22:39;-28,5;0;17,3;633,3;-36,1;99,7;-23,2;954,8;-10570,0;-5740,0;-2380,0;123,4;1360,3;-100,0;2,78;0,01
'05/08/2022 15:22:40;-28,5;0;17,3;633,3;-36,1;105,3;-23,0;1013,1;1680,0;-3290,0;-2660,0;105,9;1177,8;-100,0;2,74;0,01
'05/08/2022 15:22:41;-28,5;0;17,1;633,3;-36,1;104,6;-22,6;1017,1;6720,0;5040,0;-560,0;91,6;1027,5;-100,0;2,70;0,01
'05/08/2022 15:22:42;-28,4;0;17,2;633,4;-36,0;108,3;-26,5;1043,5;-4690,0;0,0;350,0;82,2;929,7;-100,0;2,67;0,01
'05/08/2022 15:22:43;-28,4;0;17,1;633,4;-35,9;106,5;-27,8;1019,9;-3990,0;-4410,0;280,0;73,8;839,9;-100,0;2,65;0,01
'05/08/2022 15:22:44;-28,4;0;17,0;633,3;-35,9;100,0;-25,3;962,9;9030,0;3850,0;2730,0;67,9;778,0;-100,0;2,70;0,01
'05/08/2022 15:22:45;-28,4;0;17,1;633,3;-35,9;103,8;-26,2;997,8;6090,0;4340,0;1680,0;62,1;715,2;-100,0;2,65;0,01
'05/08/2022 15:22:46;-28,4;0;17,1;633,4;-35,9;105,0;-30,4;1000,5;-12180,0;-5880,0;2380,0;58,0;671,1;-100,0;2,70;0,01
'05/08/2022 15:22:47;-28,3;0;17,0;633,4;-35,8;111,0;-29,4;1057,0;-3500,0;-1960,0;700,0;54,0;627,7;-100,0;2,66;0,01
'05/08/2022 15:22:47;-28,3;0;17,0;633,4;-35,8;108,4;-24,2;1045,7;13160,0;2870,0;-1680,0;51,1;597,6;-100,0;2,62;0,01
'05/08/2022 15:22:48;-28,3;0;17,0;633,5;-35,8;99,7;-23,9;984,9;-3080,0;-1050,0;2590,0;48,0;563,2;-100,0;2,68;0,01
'05/08/2022 15:22:49;-28,2;0;17,0;633,6;-35,6;99,2;-25,4;983,3;-13860,0;2380,0;3640,0;45,4;535,8;-100,0;2,82;0,01
'05/08/2022 15:22:50;-28,1;0;17,0;633,6;-35,6;104,1;-22,3;1009,8;6370,0;490,0;-3150,0;42,8;504,3;-100,0;2,66;0,01
'05/08/2022 15:22:51;-28,1;0;17,1;633,6;-35,5;108,5;-23,7;1036,0;6720,0;-4970,0;-2940,0;40,4;476,2;-100,0;2,63;0,01
'05/08/2022 15:22:52;-28,1;0;16,9;633,6;-35,5;107,8;-27,1;1041,7;-6860,0;3220,0;1050,0;38,3;451,2;-100,0;2,82;0,01
'05/08/2022 15:22:53;-28,1;0;16,8;633,6;-35,6;100,5;-26,2;985,5;1680,0;5250,0;-2590,0;36,3;428,6;-100,0;2,66;0,01
'05/08/2022 15:22:54;-28,1;0;17,0;633,6;-35,5;100,8;-25,3;973,3;8190,0;-7630,0;-4410,0;34,6;408,2;-100,0;2,69;0,01
'05/08/2022 15:22:55;-28,1;0;16,9;633,6;-35,5;104,3;-28,2;1009,9;-3220,0;-4130,0;-1050,0;33,0;389,6;-100,0;2,80;0,01
'05/08/2022 15:22:56;-28,1;0;16,9;633,6;-35,5;107,3;-28,4;1039,9;-5180,0;5250,0;210,0;31,6;372,7;-100,0;2,80;0,01
'05/08/2022 15:22:57;-28,0;0;17,0;633,7;-35,4;108,6;-25,6;1037,5;4270,0;560,0;-2800,0;30,3;357,2;-100,0;2,74;0,01
'05/08/2022 15:22:58;-28,0;0;16,8;633,7;-35,4;101,0;-23,1;965,2;-350,0;1820,0;-1890,0;29,1;342,9;-100,0;2,85;0,01
