

New start of logging. Datetime: 2022.05.08_152356 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:23:56;-26,3;0;15,8;635,0;-33,6;83,9;-21,4;807,8;-3290,0;2660,0;2660,0;0,0;0,0;-100,0;2,87;0,01
'05/08/2022 15:23:57;-26,3;0;15,8;635,0;-33,6;83,9;-21,4;807,8;-3290,0;2660,0;2660,0;0,0;0,0;-100,0;2,80;0,01
'05/08/2022 15:23:58;-26,3;0;15,8;635,0;-33,5;99,0;-23,4;943,1;5460,0;-4760,0;70,0;0,0;0,0;-100,0;2,93;0,01
'05/08/2022 15:23:59;-26,2;0;15,9;635,1;-33,5;105,3;-26,4;1014,9;1960,0;0,0;1120,0;0,0;0,0;-100,0;2,94;0,01
'05/08/2022 15:24:00;-26,3;0;15,8;635,1;-33,6;98,8;-27,5;969,4;-2730,0;-1260,0;-420,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:01;-26,3;0;15,8;635,1;-33,6;98,7;-26,4;966,0;3010,0;-2800,0;140,0;0,0;0,0;-100,0;2,93;0,01
'05/08/2022 15:24:02;-26,3;0;15,6;635,1;-33,5;99,6;-27,2;980,7;840,0;1540,0;1890,0;0,0;0,0;-100,0;2,94;0,01
'05/08/2022 15:24:03;-26,4;0;15,8;635,1;-33,5;101,7;-27,2;996,3;-2310,0;2940,0;1610,0;0,0;0,0;-100,0;2,93;0,01
'05/08/2022 15:24:04;-26,3;0;15,8;635,1;-33,5;106,8;-26,9;1027,7;630,0;-1470,0;560,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:05;-26,3;0;15,6;635,1;-33,4;107,8;-26,0;1027,7;1820,0;-1400,0;560,0;0,0;0,0;-100,0;2,92;0,01
'05/08/2022 15:24:06;-26,3;0;15,7;635,1;-33,4;103,0;-25,4;988,8;-1960,0;4340,0;1820,0;0,0;0,0;-100,0;2,94;0,01
'05/08/2022 15:24:07;-26,2;0;15,7;635,1;-33,4;100,5;-25,5;968,7;-3430,0;5180,0;1190,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:08;-26,2;0;15,7;635,1;-33,4;102,7;-25,7;977,5;140,0;-3920,0;140,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:08;-26,2;0;15,7;635,1;-33,4;105,4;-26,0;1002,0;1610,0;-5740,0;-70,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:09;-26,2;0;15,6;635,1;-33,4;106,2;-26,4;1025,3;1120,0;4410,0;2100,0;0,0;0,0;-100,0;2,98;0,01
'05/08/2022 15:24:10;-26,2;0;15,6;635,1;-33,4;104,7;-26,5;1019,4;70,0;4060,0;2450,0;0,0;0,0;-100,0;2,92;0,01
'05/08/2022 15:24:11;-26,2;0;15,6;635,1;-33,4;103,5;-26,4;998,5;-2730,0;-5250,0;1540,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:12;-26,2;0;15,6;635,1;-33,4;104,6;-25,7;1001,2;-2660,0;-4690,0;-140,0;0,0;0,0;-100,0;2,94;0,01
'05/08/2022 15:24:13;-26,2;0;15,6;635,1;-33,4;105,7;-24,5;1015,3;4830,0;2940,0;-350,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:14;-26,2;0;15,6;635,1;-33,3;107,1;-25,6;1031,8;4410,0;2170,0;0,0;0,0;0,0;-100,0;2,95;0,01
'05/08/2022 15:24:15;-26,2;0;15,7;635,1;-33,4;106,6;-28,4;1031,5;-5040,0;1820,0;1400,0;0,0;0,0;-100,0;2,96;0,01
'05/08/2022 15:24:16;-26,2;0;15,6;635,1;-33,4;102,7;-28,7;1008,1;-1540,0;910,0;-840,0;0,0;0,0;-100,0;2,97;0,01
'05/08/2022 15:24:17;-26,2;0;15,7;635,1;-33,3;97,3;-25,7;958,7;3850,0;-7910,0;-3290,0;0,0;0,0;-100,0;3,00;0,01
'05/08/2022 15:24:18;-26,2;0;15,4;635,1;-33,3;100,7;-25,7;985,7;490,0;-7490,0;-2800,0;0,0;0,0;-100,0;3,01;0,01
'05/08/2022 15:24:19;-26,1;0;15,6;635,1;-33,3;100,2;-25,1;1000,1;-770,0;10290,0;280,0;0,0;0,0;-100,0;3,01;0,01
