

New start of logging. Datetime: 2022.05.08_152356 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:23:56;'101707080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:23:57;'101708080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:23:58;'101709080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:23:59;'101710080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:24:00;'101711080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:24:01;'101712080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:24:02;'101713080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:24:03;'101714080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:24:04;'101715080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:24:05;'101716080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:24:06;'101718080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:24:07;'101719080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:24:08;'101720080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:24:08;'101721080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:24:09;'101722080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:24:10;'101723080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:24:11;'101724080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:24:12;'101725080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:24:13;'101726080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:24:14;'101727080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:24:15;'101728080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:24:16;'101729080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:24:17;'101730080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:24:18;'101731080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:24:19;'101732080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
