

New start of logging. Datetime: 2022.05.08_152302 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:23:02;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:23:03;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:23:04;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:23:05;'101610080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:23:06;'101611080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:23:07;'101612080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:23:08;'101613080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:23:09;'101614080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:23:10;'101615080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:23:11;'101616080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:23:12;'101617080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:23:13;'101618080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:23:14;'101620080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:23:14;'101621080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:23:15;'101622080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:23:16;'101623080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:23:17;'101624080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:23:18;'101625080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:23:19;'101626080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:23:20;'101627080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:23:21;'101628080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:23:22;'101629080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:23:23;'101630080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:23:24;'101631080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:23:25;'101632080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
