

New start of logging. Datetime: 2022.05.10_004027 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/10/2022 00:40:27;'042833110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/10/2022 00:40:28;'042834110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/10/2022 00:40:29;'042835110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/10/2022 00:40:30;'042836110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/10/2022 00:40:31;'042837110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/10/2022 00:40:32;'042838110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/10/2022 00:40:33;'042839110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/10/2022 00:40:34;'042840110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/10/2022 00:40:35;'042841110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/10/2022 00:40:36;'042842110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/10/2022 00:40:37;'042843110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/10/2022 00:40:38;'042844110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/10/2022 00:40:38;'042845110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/10/2022 00:40:39;'042846110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/10/2022 00:40:40;'042847110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/10/2022 00:40:41;'042848110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/10/2022 00:40:42;'042849110522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
