

New start of logging. Datetime: 2022.05.08_141130 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 14:11:30;'081354080522;FIX;OK;65,0049362;40,13295;311,1;0,59;0,0
2;'05/08/2022 14:11:31;'081355080522;FIX;OK;65,0049286;40,13296;316,1;0,28;0,0
3;'05/08/2022 14:11:32;'081356080522;FIX;OK;65,0049057;40,13294;313,5;0,22;0,0
4;'05/08/2022 14:11:33;'081357080522;FIX;OK;65,0049133;40,13293;316,4;0,72;0,0
5;'05/08/2022 14:11:34;'081358080522;FIX;OK;65,0049362;40,13293;315,5;0,11;0,0
6;'05/08/2022 14:11:35;'081359080522;FIX;OK;65,0049286;40,13292;322,3;0,52;0,0
7;'05/08/2022 14:11:36;'081400080522;FIX;OK;65,0049362;40,13293;318,0;0,44;0,0
8;'05/08/2022 14:11:37;'081401080522;FIX;OK;65,0049057;40,13294;312,0;0,48;0,0
9;'05/08/2022 14:11:38;'081403080522;FIX;OK;65,0049133;40,13294;313,5;0,24;0,0
10;'05/08/2022 14:11:39;'081404080522;FIX;OK;65,0049362;40,13293;317,6;0,72;0,0
11;'05/08/2022 14:11:40;'081405080522;FIX;OK;65,0049210;40,13294;315,2;0,19;0,0
12;'05/08/2022 14:11:40;'081406080522;FIX;OK;65,0049286;40,13294;317,4;0,04;0,0
13;'05/08/2022 14:11:41;'081407080522;FIX;OK;65,0049286;40,13293;318,2;0,22;0,0
14;'05/08/2022 14:11:42;'081408080522;FIX;OK;65,0049057;40,13293;313,5;0,07;0,0
15;'05/08/2022 14:11:43;'081409080522;FIX;OK;65,0048981;40,13292;316,3;0,09;0,0
16;'05/08/2022 14:11:44;'081410080522;FIX;OK;65,0049133;40,13292;320,1;0,30;0,0
17;'05/08/2022 14:11:45;'081411080522;FIX;OK;65,0049362;40,13293;316,5;0,06;0,0
18;'05/08/2022 14:11:46;'081412080522;FIX;OK;65,0049210;40,13292;318,8;0,20;0,0
19;'05/08/2022 14:11:47;'081413080522;FIX;OK;65,0048981;40,13292;314,7;0,17;0,0
20;'05/08/2022 14:11:48;'081414080522;FIX;OK;65,0049133;40,13292;313,2;0,04;0,0
21;'05/08/2022 14:11:49;'081415080522;FIX;OK;65,0049286;40,13293;318,7;0,15;0,0
22;'05/08/2022 14:11:50;'081416080522;FIX;OK;65,0049210;40,13294;317,7;0,22;0,0
23;'05/08/2022 14:11:51;'081417080522;FIX;OK;65,0049057;40,13293;316,6;0,15;0,0
24;'05/08/2022 14:11:51;'081418080522;FIX;OK;65,0049438;40,13295;322,9;0,17;0,0
25;'05/08/2022 14:11:52;'081419080522;FIX;OK;65,0049362;40,13293;322,1;0,04;0,0
26;'05/08/2022 14:11:53;'081420080522;FIX;OK;65,0049515;40,13293;320,1;0,20;0,0
27;'05/08/2022 14:11:54;'081421080522;FIX;OK;65,0049438;40,13292;319,5;0,07;0,0
28;'05/08/2022 14:11:55;'081422080522;FIX;OK;65,0049362;40,13292;321,2;0,04;0,0
29;'05/08/2022 14:11:56;'081423080522;FIX;OK;65,0049438;40,13293;317,1;0,20;0,0
30;'05/08/2022 14:11:57;'081424080522;FIX;OK;65,0049362;40,13292;320,3;0,07;0,0
31;'05/08/2022 14:11:58;'081425080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
32;'05/08/2022 14:11:59;'081426080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
33;'05/08/2022 14:12:00;'081427080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
34;'05/08/2022 14:12:01;'081428080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
35;'05/08/2022 14:12:02;'081429080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
36;'05/08/2022 14:12:03;'081430080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
37;'05/08/2022 14:12:03;'081431080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
38;'05/08/2022 14:12:04;'081432080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
39;'05/08/2022 14:12:05;'081433080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
40;'05/08/2022 14:12:06;'081434080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
41;'05/08/2022 14:12:07;'081435080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
42;'05/08/2022 14:12:08;'081436080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
43;'05/08/2022 14:12:09;'081437080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
44;'05/08/2022 14:12:10;'081438080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
45;'05/08/2022 14:12:11;'081439080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
46;'05/08/2022 14:12:12;'081440080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
47;'05/08/2022 14:12:13;'081441080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
48;'05/08/2022 14:12:14;'081442080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
49;'05/08/2022 14:12:15;'081443080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
50;'05/08/2022 14:12:15;'081444080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
51;'05/08/2022 14:12:16;'081445080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
52;'05/08/2022 14:12:17;'081446080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
53;'05/08/2022 14:12:18;'081447080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
54;'05/08/2022 14:12:19;'081448080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
55;'05/08/2022 14:12:20;'081449080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
56;'05/08/2022 14:12:21;'081450080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
57;'05/08/2022 14:12:22;'081451080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
58;'05/08/2022 14:12:23;'081452080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
59;'05/08/2022 14:12:24;'081453080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
60;'05/08/2022 14:12:25;'081454080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
61;'05/08/2022 14:12:26;'081455080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
62;'05/08/2022 14:12:27;'081456080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
63;'05/08/2022 14:12:27;'081457080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
64;'05/08/2022 14:12:28;'081458080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
65;'05/08/2022 14:12:29;'081459080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
66;'05/08/2022 14:12:30;'081500080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
67;'05/08/2022 14:12:31;'081501080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
68;'05/08/2022 14:12:32;'081502080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
69;'05/08/2022 14:12:33;'081503080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
70;'05/08/2022 14:12:34;'081504080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
71;'05/08/2022 14:12:35;'081505080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
72;'05/08/2022 14:12:36;'081506080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
73;'05/08/2022 14:12:37;'081507080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
74;'05/08/2022 14:12:38;'081508080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
75;'05/08/2022 14:12:39;'081509080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
76;'05/08/2022 14:12:39;'081510080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
77;'05/08/2022 14:12:40;'081511080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
78;'05/08/2022 14:12:41;'081512080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
79;'05/08/2022 14:12:42;'081513080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
80;'05/08/2022 14:12:43;'081514080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
81;'05/08/2022 14:12:44;'081515080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
82;'05/08/2022 14:12:45;'081516080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
83;'05/08/2022 14:12:46;'081517080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
84;'05/08/2022 14:12:47;'081518080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
85;'05/08/2022 14:12:48;'081519080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
86;'05/08/2022 14:12:49;'081520080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
87;'05/08/2022 14:12:50;'081521080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
88;'05/08/2022 14:12:51;'081522080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
89;'05/08/2022 14:12:51;'081523080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
90;'05/08/2022 14:12:52;'081524080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
91;'05/08/2022 14:12:53;'081525080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
92;'05/08/2022 14:12:54;'081526080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
93;'05/08/2022 14:12:55;'081527080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
94;'05/08/2022 14:12:56;'081528080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
95;'05/08/2022 14:12:57;'081529080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
96;'05/08/2022 14:12:58;'081530080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
97;'05/08/2022 14:12:59;'081531080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
98;'05/08/2022 14:13:00;'081532080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
99;'05/08/2022 14:13:01;'081533080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
100;'05/08/2022 14:13:02;'081534080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
101;'05/08/2022 14:13:02;'081535080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
102;'05/08/2022 14:13:03;'081536080522;FIX;OK;65,0049362;40,13292;320,5;0,00;0,0
103;'05/08/2022 14:13:04;'081537080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
104;'05/08/2022 14:13:05;'081538080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
105;'05/08/2022 14:13:06;'081539080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
106;'05/08/2022 14:13:07;'081540080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
107;'05/08/2022 14:13:08;'081541080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
108;'05/08/2022 14:13:09;'081542080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
109;'05/08/2022 14:13:10;'081543080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
110;'05/08/2022 14:13:11;'081544080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
111;'05/08/2022 14:13:12;'081545080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
112;'05/08/2022 14:13:13;'081546080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
113;'05/08/2022 14:13:14;'081547080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
114;'05/08/2022 14:13:14;'081548080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
115;'05/08/2022 14:13:15;'081549080522;FIX;OK;65,0049362;40,13292;320,6;0,00;0,0
116;'05/08/2022 14:13:16;'081550080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
117;'05/08/2022 14:13:17;'081551080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
118;'05/08/2022 14:13:18;'081552080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
119;'05/08/2022 14:13:19;'081553080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
120;'05/08/2022 14:13:20;'081554080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
121;'05/08/2022 14:13:21;'081555080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
122;'05/08/2022 14:13:22;'081556080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
123;'05/08/2022 14:13:23;'081557080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
124;'05/08/2022 14:13:24;'081558080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
125;'05/08/2022 14:13:25;'081559080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
126;'05/08/2022 14:13:26;'081600080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
127;'05/08/2022 14:13:26;'081601080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
128;'05/08/2022 14:13:27;'081602080522;FIX;OK;65,0049362;40,13292;320,7;0,00;0,0
129;'05/08/2022 14:13:28;'081603080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
130;'05/08/2022 14:13:29;'081604080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
131;'05/08/2022 14:13:30;'081605080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
132;'05/08/2022 14:13:31;'081606080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
133;'05/08/2022 14:13:32;'081607080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
134;'05/08/2022 14:13:33;'081608080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
135;'05/08/2022 14:13:34;'081609080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
136;'05/08/2022 14:13:35;'081610080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
137;'05/08/2022 14:13:36;'081611080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
138;'05/08/2022 14:13:37;'081612080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
139;'05/08/2022 14:13:38;'081613080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
140;'05/08/2022 14:13:38;'081614080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
141;'05/08/2022 14:13:39;'081615080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
142;'05/08/2022 14:13:40;'081616080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
143;'05/08/2022 14:13:41;'081617080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
144;'05/08/2022 14:13:42;'081618080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
145;'05/08/2022 14:13:43;'081619080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
146;'05/08/2022 14:13:44;'081620080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
147;'05/08/2022 14:13:45;'081621080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
148;'05/08/2022 14:13:46;'081622080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
149;'05/08/2022 14:13:47;'081623080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
150;'05/08/2022 14:13:48;'081624080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
151;'05/08/2022 14:13:49;'081625080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
152;'05/08/2022 14:13:50;'081626080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
153;'05/08/2022 14:13:50;'081627080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
154;'05/08/2022 14:13:51;'081628080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
155;'05/08/2022 14:13:52;'081629080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
156;'05/08/2022 14:13:53;'081630080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
157;'05/08/2022 14:13:54;'081631080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
158;'05/08/2022 14:13:55;'081632080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
159;'05/08/2022 14:13:56;'081633080522;FIX;OK;65,0049362;40,13292;320,8;0,00;0,0
160;'05/08/2022 14:13:57;'081634080522;FIX;OK;65,0049362;40,13292;320,9;0,00;0,0
