

New start of logging. Datetime: 2022.05.08_004113 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 00:41:13;'041510080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 00:41:14;'041511080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 00:41:15;'041512080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 00:41:16;'041513080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 00:41:17;'041514080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 00:41:18;'041515080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 00:41:19;'041516080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 00:41:20;'041517080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 00:41:21;'041518080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 00:41:22;'041519080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 00:41:23;'041520080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 00:41:23;'041521080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 00:41:24;'041522080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 00:41:25;'041523080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 00:41:26;'041524080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 00:41:27;'041525080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 00:41:28;'041526080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 00:41:29;'041527080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 00:41:30;'041528080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 00:41:31;'041529080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 00:41:32;'041530080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 00:41:33;'041531080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 00:41:34;'041532080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 00:41:35;'041533080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 00:41:36;'041534080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
26;'05/08/2022 00:41:36;'041535080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
27;'05/08/2022 00:41:37;'041536080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
28;'05/08/2022 00:41:38;'041537080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
29;'05/08/2022 00:41:39;'041538080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
30;'05/08/2022 00:41:40;'041539080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
31;'05/08/2022 00:41:41;'041540080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
32;'05/08/2022 00:41:42;'041541080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
33;'05/08/2022 00:41:43;'041542080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
34;'05/08/2022 00:41:44;'041543080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
35;'05/08/2022 00:41:45;'041544080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
