

New start of logging. Datetime: 2022.05.08_134619 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 13:46:19;'074641080522;FIX;OK;65,0048065;40,13299;313,9;0,33;243,4
2;'05/08/2022 13:46:20;'074643080522;FIX;OK;65,0047989;40,13291;312,0;0,39;243,4
3;'05/08/2022 13:46:21;'074644080522;FIX;OK;65,0047989;40,13291;308,9;1,09;39,8
4;'05/08/2022 13:46:22;'074645080522;FIX;OK;65,0048752;40,13290;311,3;0,69;39,8
5;'05/08/2022 13:46:23;'074646080522;FIX;OK;65,0048676;40,13290;308,2;1,04;39,8
6;'05/08/2022 13:46:24;'074647080522;FIX;OK;65,0048294;40,13288;303,4;0,85;39,8
7;'05/08/2022 13:46:25;'074648080522;FIX;OK;65,0048370;40,13290;306,6;0,67;39,8
8;'05/08/2022 13:46:26;'074649080522;FIX;OK;65,0048294;40,13288;303,2;0,59;39,8
9;'05/08/2022 13:46:27;'074650080522;FIX;OK;65,0048065;40,13288;312,4;0,85;39,8
10;'05/08/2022 13:46:28;'074651080522;FIX;OK;65,0048141;40,13290;306,5;1,26;22,0
11;'05/08/2022 13:46:29;'074652080522;FIX;OK;65,0048218;40,13292;312,5;0,98;22,0
12;'05/08/2022 13:46:29;'074653080522;FIX;OK;65,0048523;40,13293;315,3;0,54;22,0
13;'05/08/2022 13:46:30;'074654080522;FIX;OK;65,0048676;40,13291;323,9;0,50;22,0
14;'05/08/2022 13:46:31;'074655080522;FIX;OK;65,0048676;40,13291;317,6;0,61;22,0
15;'05/08/2022 13:46:32;'074656080522;FIX;OK;65,0049286;40,13291;305,7;0,56;22,0
16;'05/08/2022 13:46:33;'074657080522;FIX;OK;65,0048523;40,13290;311,6;0,26;22,0
17;'05/08/2022 13:46:34;'074658080522;FIX;OK;65,0048752;40,13292;315,5;0,41;22,0
18;'05/08/2022 13:46:35;'074659080522;FIX;OK;65,0048676;40,13292;315,0;1,06;22,0
19;'05/08/2022 13:46:36;'074700080522;FIX;OK;65,0048599;40,13291;316,3;0,78;22,0
20;'05/08/2022 13:46:37;'074701080522;FIX;OK;65,0049057;40,13293;314,1;0,46;22,0
21;'05/08/2022 13:46:38;'074702080522;FIX;OK;65,0049286;40,13294;314,3;0,61;22,0
22;'05/08/2022 13:46:39;'074703080522;FIX;OK;65,0049515;40,13294;315,3;0,78;22,0
23;'05/08/2022 13:46:40;'074704080522;FIX;OK;65,0049210;40,13293;314,4;0,56;22,0
24;'05/08/2022 13:46:40;'074705080522;FIX;OK;65,0049057;40,13294;315,4;0,74;22,0
25;'05/08/2022 13:46:41;'074706080522;FIX;OK;65,0049210;40,13294;317,9;0,43;22,0
26;'05/08/2022 13:46:42;'074707080522;FIX;OK;65,0049286;40,13295;318,6;0,35;22,0
27;'05/08/2022 13:46:43;'074708080522;FIX;OK;65,0048981;40,13293;320,9;1,07;22,0
28;'05/08/2022 13:46:44;'074709080522;FIX;OK;65,0048904;40,13293;317,2;0,46;22,0
29;'05/08/2022 13:46:45;'074710080522;FIX;OK;65,0048904;40,13294;324,1;0,93;22,0
30;'05/08/2022 13:46:46;'074711080522;FIX;OK;65,0048904;40,13293;323,4;0,00;22,0
31;'05/08/2022 13:46:47;'074712080522;FIX;OK;65,0048904;40,13293;322,9;0,00;22,0
32;'05/08/2022 13:46:48;'074713080522;FIX;OK;65,0048981;40,13293;322,4;0,00;22,0
33;'05/08/2022 13:46:49;'074714080522;FIX;OK;65,0048981;40,13293;321,9;0,00;22,0
34;'05/08/2022 13:46:50;'074715080522;FIX;OK;65,0048981;40,13293;321,4;0,00;22,0
35;'05/08/2022 13:46:51;'074716080522;FIX;OK;65,0048981;40,13293;320,9;0,00;22,0
36;'05/08/2022 13:46:52;'074717080522;FIX;OK;65,0048981;40,13293;320,4;0,00;22,0
37;'05/08/2022 13:46:52;'074718080522;FIX;OK;65,0048981;40,13293;319,9;0,00;22,0
38;'05/08/2022 13:46:53;'074719080522;FIX;OK;65,0048981;40,13293;319,4;0,00;22,0
39;'05/08/2022 13:46:54;'074720080522;FIX;OK;65,0048981;40,13293;318,9;0,00;22,0
40;'05/08/2022 13:46:55;'074721080522;FIX;OK;65,0048981;40,13293;318,5;0,00;22,0
41;'05/08/2022 13:46:56;'074722080522;FIX;OK;65,0048981;40,13293;318,0;0,00;22,0
42;'05/08/2022 13:46:57;'074723080522;FIX;OK;65,0048981;40,13293;317,5;0,00;22,0
43;'05/08/2022 13:46:58;'074724080522;FIX;OK;65,0048981;40,13293;317,1;0,00;22,0
44;'05/08/2022 13:46:59;'074725080522;FIX;OK;65,0048981;40,13293;316,7;0,00;22,0
45;'05/08/2022 13:47:00;'074726080522;FIX;OK;65,0048981;40,13293;316,2;0,00;22,0
46;'05/08/2022 13:47:01;'074727080522;FIX;OK;65,0048981;40,13293;315,8;0,00;22,0
47;'05/08/2022 13:47:02;'074728080522;FIX;OK;65,0048981;40,13293;315,4;0,00;22,0
48;'05/08/2022 13:47:03;'074729080522;FIX;OK;65,0048981;40,13293;315,0;0,00;22,0
49;'05/08/2022 13:47:04;'074730080522;FIX;OK;65,0048981;40,13293;314,7;0,00;22,0
50;'05/08/2022 13:47:04;'074731080522;FIX;OK;65,0048981;40,13293;314,3;0,00;22,0
51;'05/08/2022 13:47:05;'074732080522;FIX;OK;65,0048981;40,13293;314,0;0,00;22,0
52;'05/08/2022 13:47:06;'074733080522;FIX;OK;65,0048981;40,13293;313,6;0,00;22,0
53;'05/08/2022 13:47:07;'074734080522;FIX;OK;65,0048981;40,13293;313,3;0,00;22,0
54;'05/08/2022 13:47:08;'074735080522;FIX;OK;65,0048981;40,13293;313,0;0,00;22,0
55;'05/08/2022 13:47:09;'074736080522;FIX;OK;65,0048981;40,13293;312,6;0,00;22,0
56;'05/08/2022 13:47:10;'074737080522;FIX;OK;65,0048981;40,13293;312,3;0,00;22,0
57;'05/08/2022 13:47:11;'074738080522;FIX;OK;65,0048981;40,13293;312,0;0,00;22,0
58;'05/08/2022 13:47:12;'074739080522;FIX;OK;65,0048981;40,13293;311,7;0,00;22,0
59;'05/08/2022 13:47:13;'074740080522;FIX;OK;65,0048981;40,13293;311,4;0,00;22,0
60;'05/08/2022 13:47:14;'074741080522;FIX;OK;65,0048981;40,13293;311,1;0,00;22,0
61;'05/08/2022 13:47:15;'074742080522;FIX;OK;65,0048981;40,13293;311,0;0,00;22,0
62;'05/08/2022 13:47:15;'074743080522;FIX;OK;65,0048981;40,13293;310,9;0,00;22,0
63;'05/08/2022 13:47:16;'074744080522;FIX;OK;65,0048981;40,13293;310,7;0,00;22,0
64;'05/08/2022 13:47:17;'074745080522;FIX;OK;65,0048981;40,13293;310,6;0,00;22,0
65;'05/08/2022 13:47:18;'074746080522;FIX;OK;65,0048981;40,13293;310,5;0,00;22,0
66;'05/08/2022 13:47:19;'074747080522;FIX;OK;65,0048981;40,13293;310,4;0,00;22,0
67;'05/08/2022 13:47:20;'074748080522;FIX;OK;65,0048981;40,13293;310,2;0,00;22,0
68;'05/08/2022 13:47:21;'074749080522;FIX;OK;65,0048981;40,13293;310,1;0,00;22,0
69;'05/08/2022 13:47:22;'074750080522;FIX;OK;65,0048981;40,13293;310,0;0,00;22,0
70;'05/08/2022 13:47:23;'074751080522;FIX;OK;65,0048981;40,13293;309,9;0,00;22,0
71;'05/08/2022 13:47:24;'074752080522;FIX;OK;65,0048981;40,13293;309,8;0,00;22,0
72;'05/08/2022 13:47:25;'074753080522;FIX;OK;65,0048981;40,13293;309,7;0,00;22,0
73;'05/08/2022 13:47:26;'074754080522;FIX;OK;65,0048981;40,13293;309,6;0,00;22,0
74;'05/08/2022 13:47:27;'074755080522;FIX;OK;65,0048981;40,13293;309,5;0,00;22,0
75;'05/08/2022 13:47:27;'074756080522;FIX;OK;65,0048981;40,13293;309,4;0,00;22,0
76;'05/08/2022 13:47:28;'074757080522;FIX;OK;65,0048981;40,13293;309,4;0,00;22,0
77;'05/08/2022 13:47:29;'074758080522;FIX;OK;65,0048981;40,13293;309,3;0,00;22,0
78;'05/08/2022 13:47:30;'074759080522;FIX;OK;65,0048981;40,13293;309,2;0,00;22,0
79;'05/08/2022 13:47:31;'074800080522;FIX;OK;65,0048981;40,13293;309,1;0,00;22,0
80;'05/08/2022 13:47:32;'074801080522;FIX;OK;65,0048981;40,13293;309,1;0,00;22,0
81;'05/08/2022 13:47:33;'074802080522;FIX;OK;65,0048981;40,13293;309,0;0,00;22,0
82;'05/08/2022 13:47:34;'074803080522;FIX;OK;65,0048981;40,13293;308,9;0,00;22,0
83;'05/08/2022 13:47:35;'074804080522;FIX;OK;65,0048981;40,13293;308,9;0,00;22,0
84;'05/08/2022 13:47:36;'074805080522;FIX;OK;65,0048981;40,13293;308,8;0,00;22,0
85;'05/08/2022 13:47:37;'074806080522;FIX;OK;65,0048981;40,13293;308,8;0,00;22,0
86;'05/08/2022 13:47:38;'074807080522;FIX;OK;65,0048981;40,13293;308,7;0,00;22,0
87;'05/08/2022 13:47:38;'074808080522;FIX;OK;65,0048981;40,13293;308,6;0,00;22,0
88;'05/08/2022 13:47:39;'074809080522;FIX;OK;65,0048981;40,13293;308,6;0,00;22,0
89;'05/08/2022 13:47:40;'074810080522;FIX;OK;65,0048981;40,13293;308,5;0,00;22,0
90;'05/08/2022 13:47:41;'074811080522;FIX;OK;65,0048981;40,13293;308,5;0,00;22,0
91;'05/08/2022 13:47:42;'074812080522;FIX;OK;65,0048981;40,13293;308,4;0,00;22,0
92;'05/08/2022 13:47:43;'074813080522;FIX;OK;65,0048981;40,13293;308,4;0,00;22,0
93;'05/08/2022 13:47:44;'074814080522;FIX;OK;65,0048981;40,13293;308,4;0,00;22,0
94;'05/08/2022 13:47:45;'074815080522;FIX;OK;65,0048981;40,13293;308,3;0,00;22,0
95;'05/08/2022 13:47:46;'074816080522;FIX;OK;65,0048981;40,13293;308,3;0,00;22,0
96;'05/08/2022 13:47:47;'074817080522;FIX;OK;65,0048981;40,13293;308,2;0,00;22,0
97;'05/08/2022 13:47:48;'074818080522;FIX;OK;65,0048981;40,13293;308,2;0,00;22,0
98;'05/08/2022 13:47:49;'074819080522;FIX;OK;65,0048981;40,13293;308,2;0,00;22,0
99;'05/08/2022 13:47:50;'074820080522;FIX;OK;65,0048981;40,13293;308,1;0,00;22,0
100;'05/08/2022 13:47:50;'074821080522;FIX;OK;65,0048981;40,13293;308,1;0,00;22,0
101;'05/08/2022 13:47:51;'074822080522;FIX;OK;65,0048981;40,13293;308,1;0,00;22,0
