

New start of logging. Datetime: 2022.05.08_004030 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 00:40:30;'024553080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 00:40:31;'024554080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 00:40:32;'024555080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 00:40:33;'024556080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 00:40:34;'024557080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 00:40:35;'024558080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 00:40:36;'024559080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 00:40:37;'024600080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 00:40:38;'024601080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 00:40:39;'024602080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 00:40:40;'024603080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 00:40:40;'024604080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 00:40:41;'024605080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
