

New start of logging. Datetime: 2022.05.08_004046 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 00:40:46;'034933080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 00:40:47;'034934080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 00:40:48;'034935080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 00:40:49;'034936080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 00:40:50;'034937080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 00:40:51;'034938080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 00:40:52;'034939080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 00:40:53;'034940080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 00:40:54;'034941080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 00:40:55;'034942080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 00:40:56;'034943080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 00:40:56;'034944080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 00:40:57;'034945080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 00:40:58;'034946080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 00:40:59;'034947080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 00:41:00;'034948080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 00:41:01;'034949080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 00:41:02;'034950080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 00:41:03;'034951080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 00:41:04;'034952080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 00:41:05;'034953080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 00:41:06;'034954080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 00:41:07;'034955080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 00:41:08;'034956080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 00:41:08;'034957080522;NOF;OPEN;0,0000000;0,00000;0,0;0,00;0,0
