

New start of logging. Datetime: 2022.05.08_004356 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 00:43:56;'073233080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 00:43:57;'073234080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 00:43:58;'073235080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 00:43:59;'073236080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 00:44:00;'073237080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 00:44:01;'073238080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 00:44:02;'073239080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 00:44:03;'073240080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 00:44:04;'073241080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 00:44:05;'073242080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 00:44:06;'073243080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 00:44:06;'073244080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 00:44:07;'073245080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 00:44:08;'073246080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 00:44:09;'073247080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 00:44:10;'073248080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 00:44:11;'073249080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 00:44:12;'073250080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 00:44:13;'073251080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 00:44:14;'073252080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 00:44:15;'073253080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 00:44:16;'073254080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 00:44:17;'073255080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 00:44:18;'073256080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 00:44:18;'073257080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
26;'05/08/2022 00:44:19;'073258080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
27;'05/08/2022 00:44:20;'073259080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
28;'05/08/2022 00:44:21;'073300080522;FIX;OK;65,0051117;40,13274;293,9;1,54;143,0
29;'05/08/2022 00:44:22;'073301080522;FIX;OK;65,0051193;40,13274;293,3;1,46;299,6
30;'05/08/2022 00:44:23;'073301080522;FIX;OK;65,0051193;40,13274;293,3;1,46;299,6
31;'05/08/2022 00:44:24;'073303080522;FIX;OK;65,0050964;40,13278;299,9;5,74;323,3
32;'05/08/2022 00:44:25;'073304080522;FIX;OK;65,0051193;40,13276;293,6;2,19;145,8
33;'05/08/2022 00:44:26;'073305080522;FIX;OK;65,0051270;40,13274;293,9;2,35;338,0
34;'05/08/2022 00:44:27;'073306080522;FIX;OK;65,0051346;40,13274;293,3;0,31;338,0
35;'05/08/2022 00:44:28;'073307080522;FIX;OK;65,0051193;40,13274;293,0;2,22;150,4
36;'05/08/2022 00:44:29;'073308080522;FIX;OK;65,0051193;40,13276;288,8;0,70;150,4
37;'05/08/2022 00:44:30;'073309080522;FIX;OK;65,0051117;40,13277;287,6;0,28;150,4
38;'05/08/2022 00:44:30;'073310080522;FIX;OK;65,0051193;40,13276;288,0;0,52;150,4
39;'05/08/2022 00:44:31;'073311080522;FIX;OK;65,0051270;40,13275;282,9;0,24;150,4
40;'05/08/2022 00:44:32;'073312080522;FIX;OK;65,0051117;40,13277;283,6;0,22;150,4
41;'05/08/2022 00:44:33;'073313080522;FIX;OK;65,0050888;40,13279;282,6;0,70;150,4
42;'05/08/2022 00:44:34;'073314080522;FIX;OK;65,0050888;40,13279;278,8;2,39;156,3
43;'05/08/2022 00:44:35;'073315080522;FIX;OK;65,0051193;40,13278;273,0;1,15;145,6
44;'05/08/2022 00:44:36;'073316080522;FIX;OK;65,0051193;40,13276;273,8;2,80;315,4
45;'05/08/2022 00:44:37;'073317080522;FIX;OK;65,0051422;40,13274;258,8;0,33;315,4
46;'05/08/2022 00:44:38;'073318080522;FIX;OK;65,0051498;40,13274;265,5;3,50;143,2
47;'05/08/2022 00:44:39;'073319080522;FIX;OK;65,0049744;40,13290;316,4;0,24;143,2
48;'05/08/2022 00:44:40;'073320080522;FIX;OK;65,0050201;40,13285;303,2;1,54;135,1
49;'05/08/2022 00:44:41;'073321080522;FIX;OK;65,0050354;40,13282;302,8;0,09;135,1
50;'05/08/2022 00:44:41;'073322080522;FIX;OK;65,0050354;40,13282;304,5;0,74;135,1
51;'05/08/2022 00:44:42;'073323080522;FIX;OK;65,0050049;40,13285;306,0;2,32;150,9
52;'05/08/2022 00:44:43;'073324080522;FIX;OK;65,0050125;40,13285;300,6;0,15;150,9
53;'05/08/2022 00:44:44;'073325080522;FIX;OK;65,0049820;40,13289;305,6;0,56;150,9
54;'05/08/2022 00:44:45;'073326080522;FIX;OK;65,0049362;40,13295;308,2;0,78;150,9
55;'05/08/2022 00:44:46;'073327080522;FIX;OK;65,0049438;40,13295;312,7;1,37;159,6
56;'05/08/2022 00:44:47;'073328080522;FIX;OK;65,0049362;40,13297;310,0;0,65;159,6
57;'05/08/2022 00:44:48;'073329080522;FIX;OK;65,0049362;40,13298;308,6;0,74;159,6
58;'05/08/2022 00:44:49;'073330080522;FIX;OK;65,0049362;40,13297;307,8;0,28;159,6
59;'05/08/2022 00:44:50;'073331080522;FIX;OK;65,0049362;40,13297;307,9;0,30;159,6
60;'05/08/2022 00:44:51;'073332080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
61;'05/08/2022 00:44:52;'073333080522;FIX;OK;65,0049362;40,13297;308,4;0,00;159,6
62;'05/08/2022 00:44:53;'073334080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
63;'05/08/2022 00:44:53;'073335080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
64;'05/08/2022 00:44:54;'073336080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
65;'05/08/2022 00:44:55;'073337080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
66;'05/08/2022 00:44:56;'073338080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
67;'05/08/2022 00:44:57;'073339080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
68;'05/08/2022 00:44:58;'073340080522;FIX;OK;65,0049362;40,13297;308,2;0,00;159,6
69;'05/08/2022 00:44:59;'073341080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
70;'05/08/2022 00:45:00;'073342080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
71;'05/08/2022 00:45:01;'073343080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
72;'05/08/2022 00:45:02;'073344080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
73;'05/08/2022 00:45:03;'073345080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
74;'05/08/2022 00:45:04;'073346080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
75;'05/08/2022 00:45:05;'073347080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
76;'05/08/2022 00:45:05;'073348080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
77;'05/08/2022 00:45:06;'073349080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
78;'05/08/2022 00:45:07;'073350080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
79;'05/08/2022 00:45:08;'073351080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
80;'05/08/2022 00:45:09;'073352080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
81;'05/08/2022 00:45:10;'073353080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
82;'05/08/2022 00:45:11;'073354080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
83;'05/08/2022 00:45:12;'073355080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
84;'05/08/2022 00:45:13;'073356080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
85;'05/08/2022 00:45:14;'073357080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
86;'05/08/2022 00:45:15;'073358080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
87;'05/08/2022 00:45:16;'073359080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
88;'05/08/2022 00:45:16;'073400080522;FIX;OK;65,0049362;40,13297;308,0;0,00;159,6
89;'05/08/2022 00:45:17;'073401080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
90;'05/08/2022 00:45:18;'073402080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
91;'05/08/2022 00:45:19;'073403080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
92;'05/08/2022 00:45:20;'073404080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
93;'05/08/2022 00:45:21;'073405080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
94;'05/08/2022 00:45:22;'073406080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
95;'05/08/2022 00:45:23;'073407080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
96;'05/08/2022 00:45:24;'073408080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
97;'05/08/2022 00:45:25;'073409080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
98;'05/08/2022 00:45:26;'073410080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
99;'05/08/2022 00:45:27;'073411080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
100;'05/08/2022 00:45:28;'073412080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
101;'05/08/2022 00:45:28;'073413080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
102;'05/08/2022 00:45:29;'073414080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
103;'05/08/2022 00:45:30;'073415080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
104;'05/08/2022 00:45:31;'073416080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
105;'05/08/2022 00:45:32;'073417080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
106;'05/08/2022 00:45:33;'073418080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
107;'05/08/2022 00:45:34;'073419080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
108;'05/08/2022 00:45:35;'073420080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
109;'05/08/2022 00:45:36;'073421080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
110;'05/08/2022 00:45:37;'073422080522;FIX;OK;65,0049362;40,13297;308,1;0,00;159,6
