

New start of logging. Datetime: 2022.05.08_140906 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 14:09:06;'080927080522;FIX;OK;65,0049286;40,13292;316,4;0,15;0,0
2;'05/08/2022 14:09:07;'080928080522;FIX;OK;65,0049362;40,13293;316,7;0,50;0,0
3;'05/08/2022 14:09:08;'080929080522;FIX;OK;65,0049362;40,13292;314,8;0,28;0,0
4;'05/08/2022 14:09:09;'080930080522;FIX;OK;65,0049286;40,13293;317,2;1,07;0,0
5;'05/08/2022 14:09:10;'080931080522;FIX;OK;65,0049210;40,13294;316,8;0,35;0,0
6;'05/08/2022 14:09:11;'080932080522;FIX;OK;65,0049362;40,13295;316,1;0,37;0,0
7;'05/08/2022 14:09:12;'080933080522;FIX;OK;65,0049286;40,13294;316,1;0,30;0,0
8;'05/08/2022 14:09:13;'080934080522;FIX;OK;65,0049210;40,13293;314,7;0,81;0,0
9;'05/08/2022 14:09:14;'080935080522;FIX;OK;65,0049133;40,13292;312,9;0,06;0,0
10;'05/08/2022 14:09:15;'080936080522;FIX;OK;65,0049133;40,13292;313,8;0,81;0,0
11;'05/08/2022 14:09:16;'080937080522;FIX;OK;65,0048904;40,13290;312,5;0,22;0,0
12;'05/08/2022 14:09:16;'080938080522;FIX;OK;65,0049057;40,13291;311,9;0,06;0,0
13;'05/08/2022 14:09:17;'080939080522;FIX;OK;65,0049057;40,13292;311,2;0,37;0,0
14;'05/08/2022 14:09:18;'080940080522;FIX;OK;65,0049438;40,13293;314,4;0,13;0,0
15;'05/08/2022 14:09:19;'080940080522;FIX;OK;65,0049438;40,13293;314,4;0,13;0,0
16;'05/08/2022 14:09:20;'080941080522;FIX;OK;65,0049057;40,13290;319,8;0,43;0,0
17;'05/08/2022 14:09:21;'080943080522;FIX;OK;65,0049057;40,13291;314,8;0,04;0,0
18;'05/08/2022 14:09:22;'080944080522;FIX;OK;65,0048981;40,13292;314,0;0,52;0,0
19;'05/08/2022 14:09:23;'080944080522;FIX;OK;65,0048981;40,13292;314,0;0,52;0,0
20;'05/08/2022 14:09:24;'080946080522;FIX;OK;65,0049133;40,13293;316,0;0,26;0,0
21;'05/08/2022 14:09:25;'080947080522;FIX;OK;65,0049286;40,13293;315,0;0,46;0,0
22;'05/08/2022 14:09:26;'080948080522;FIX;OK;65,0048904;40,13292;316,0;0,57;0,0
23;'05/08/2022 14:09:27;'080949080522;FIX;OK;65,0049133;40,13292;319,2;0,93;0,0
