

New start of logging. Datetime: 2022.05.08_152235 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:22:35;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:22:36;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:22:37;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:22:38;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:22:39;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:22:40;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:22:41;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:22:42;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:22:43;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:22:44;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:22:45;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:22:46;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:22:47;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:22:47;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:22:48;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:22:49;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:22:50;'101553080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:22:51;'101554080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:22:52;'101555080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:22:53;'101556080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:22:54;'101557080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:22:55;'101558080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:22:56;'101559080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:22:57;'101600080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:22:58;'101601080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
