

New start of logging. Datetime: 2022.05.08_153346 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:33:46;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:33:47;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:33:48;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:33:49;';NOF;;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:33:50;'104317080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:33:51;'104317080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:33:52;'104319080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:33:53;'104320080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:33:54;'104321080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:33:55;'104322080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:33:56;'104323080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:33:57;'104324080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:33:58;'104325080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:33:58;'104326080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:33:59;'104327080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:34:00;'104328080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:34:01;'104329080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:34:02;'104330080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:34:03;'104332080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:34:04;'104333080522;FIX;OK;65,7086563;40,67805;7235,2;24,96;50,9
21;'05/08/2022 15:34:05;'104334080522;FIX;OK;65,7087784;40,67819;7235,0;35,45;36,5
22;'05/08/2022 15:34:06;'104334080522;FIX;OK;65,7087784;40,67819;7235,0;35,45;36,5
23;'05/08/2022 15:34:07;'104336080522;FIX;OK;65,7089310;40,67830;7217,1;29,85;38,9
24;'05/08/2022 15:34:08;'104337080522;FIX;OK;65,7089767;40,67836;7206,1;42,00;55,9
25;'05/08/2022 15:34:09;'104338080522;FIX;OK;65,7090530;40,67841;7199,0;21,59;27,9
