

New start of logging. Datetime: 2022.05.08_151225 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:12:25;'091240080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:12:26;'091241080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:12:27;'091242080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:12:28;'091243080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:12:29;'091244080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:12:30;'091245080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:12:31;'091246080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:12:32;'091247080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:12:33;'091248080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:12:34;'091249080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:12:35;'091250080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:12:35;'091251080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:12:36;'091252080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:12:37;'091253080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:12:38;'091254080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:12:39;'091255080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:12:40;'091256080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:12:41;'091257080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:12:42;'091258080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:12:43;'091259080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:12:44;'091300080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:12:45;'091301080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:12:46;'091302080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:12:47;'091303080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:12:48;'091304080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
26;'05/08/2022 15:12:49;'091305080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
27;'05/08/2022 15:12:49;'091306080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
28;'05/08/2022 15:12:50;'091307080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
29;'05/08/2022 15:12:51;'091308080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
30;'05/08/2022 15:12:52;'091309080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
31;'05/08/2022 15:12:53;'091310080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
32;'05/08/2022 15:12:54;'091311080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
33;'05/08/2022 15:12:55;'091312080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
34;'05/08/2022 15:12:56;'091313080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
35;'05/08/2022 15:12:57;'091314080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
