

New start of logging. Datetime: 2022.05.08_152450 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:24:50;'101808080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:24:51;'101809080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:24:52;'101810080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:24:53;'101811080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:24:54;'101812080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:24:55;'101813080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:24:56;'101814080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:24:57;'101815080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:24:58;'101816080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:24:59;'101817080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:25:00;'101818080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:25:00;'101819080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:25:01;'101820080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:25:02;'101821080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:25:03;'101822080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:25:04;'101823080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:25:05;'101824080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:25:06;'101825080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:25:07;'101826080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:25:08;'101827080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:25:09;'101828080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:25:10;'101829080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:25:11;'101830080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:25:12;'101831080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:25:13;'101832080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
26;'05/08/2022 15:25:13;'101833080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
27;'05/08/2022 15:25:14;'101834080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
28;'05/08/2022 15:25:15;'101835080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
29;'05/08/2022 15:25:16;'101836080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
30;'05/08/2022 15:25:17;'101837080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
31;'05/08/2022 15:25:18;'101838080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
32;'05/08/2022 15:25:19;'101839080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
33;'05/08/2022 15:25:20;'101840080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
34;'05/08/2022 15:25:21;'101841080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
35;'05/08/2022 15:25:22;'101842080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
36;'05/08/2022 15:25:23;'101843080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
37;'05/08/2022 15:25:24;'101844080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
38;'05/08/2022 15:25:25;'101845080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
39;'05/08/2022 15:25:26;'101846080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
40;'05/08/2022 15:25:26;'101847080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
41;'05/08/2022 15:25:27;'101848080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
42;'05/08/2022 15:25:28;'101849080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
43;'05/08/2022 15:25:29;'101850080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
44;'05/08/2022 15:25:30;'101851080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
